gene_id	chisq	pvalue	adj_pvalue	ExDp	ExN1	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
CDC42	112.07594458551	2.62531810804223e-23	4.36065337745814e-20	0.282958199356913	0.536036036036036	-0.253077836679123	chr1:22090807:+_vs_chr1:22091599:+	-0.511876828597086	chr1:22090127:+;chr1:22090807:+;chr1:22091599:+;chr1:22092414:+;chr1:22092943:+	proximal	TRUE
SDCBP	86.842311521009	1.38813484283478e-19	1.15284598697428e-16	0.714285714285714	0.951443569553806	-0.237157855268091	chr8:58582275:+_vs_chr8:58582840:+	-0.860329958755156	chr8:58579688:+;chr8:58582275:+;chr8:58582840:+	proximal	TRUE
CALM1	67.2428948836773	3.8362520626204e-13	2.12400489200416e-10	0.5328165374677	0.673228346456693	-0.140411808988993	chr14:90405213:+_vs_chr14:90405610:+	-0.454851573785835	chr14:90403939:+;chr14:90404963:+;chr14:90405107:+;chr14:90405213:+;chr14:90405610:+;chr14:90408268:+	proximal	TRUE
NREP	66.5562177343946	5.32754749520751e-13	2.21226409738492e-10	0.579449541284404	0.711360799001248	-0.131911257716845	chr5:111730035:-_vs_chr5:111729303:-	-0.373984354419361	chr5:111729303:-;chr5:111729731:-;chr5:111729843:-;chr5:111729940:-;chr5:111730035:-;chr5:111734729:-	proximal	TRUE
HNRNPK	61.5365473022043	1.37880278105132e-12	4.58038283865248e-10	0.442786069651741	0.338691796008869	0.104094273642872	chr9:83968909:-_vs_chr9:83968178:-	0.439631112729038	chr9:83968083:-;chr9:83968178:-;chr9:83968344:-;chr9:83968909:-;chr9:83978257:-	distal	TRUE
RPL15	59.9443345579928	2.9800581341081e-12	8.2497942679226e-10	0.603305785123967	0.497307001795332	0.105998783328635	chr3:23919552:+_vs_chr3:23920772:+	0.276826119856967	chr3:23919552:+;chr3:23919656:+;chr3:23919783:+;chr3:23920772:+;chr3:23920847:+	distal	TRUE
KIAA1191	52.4824160192581	4.01409977292428e-12	9.52488531832462e-10	0.3	0.901315789473684	-0.601315789473684	chr5:176347369:-_vs_chr5:176346062:-	-1.20263157894737	chr5:176346062:-;chr5:176347204:-;chr5:176347369:-	proximal	TRUE
OS9	52.0433787420195	4.99946919060126e-12	1.03801479069859e-09	0.465116279069767	0.926724137931035	-0.461607858861267	chr12:57719089:+_vs_chr12:57721557:+	-0.923215717722534	chr12:57719089:+;chr12:57719138:+;chr12:57721557:+	proximal	TRUE
MAP4	52.7135167464115	2.11019465678262e-11	3.89448147212882e-09	0.0833333333333333	0.553030303030303	-0.46969696969697	chr3:47973079:-_vs_chr3:47916689:-	-1.03409090909091	chr3:47850695:-;chr3:47916622:-;chr3:47916689:-;chr3:47973079:-	proximal	TRUE
NSG1	60.7812202308486	3.12273953831093e-11	5.18687037313445e-09	0.682539682539682	0.663344407530454	0.0191952750092284	chr4:4417738:+_vs_chr4:4418546:+	0.335548172757475	chr4:4417738:+;chr4:4418332:+;chr4:4418468:+;chr4:4418546:+;chr4:4418587:+;chr4:4418690:+;chr4:4419058:+	distal	TRUE
