gene_id	chisq	pvalue	adj_pvalue	ExM	ExN3	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
TTC3	90.9650623984723	1.07838421688728e-14	1.07058115298927e-11	0.456704245622451	0.486902927580894	-0.0301986819584422	chr21:37077393:+_vs_chr21:37129034:+	0.283037431241894	chr21:37077393:+;chr21:37095368:+;chr21:37129034:+;chr21:37150845:+;chr21:37153179:+;chr21:37160839:+;chr21:37164198:+;chr21:37165784:+;chr21:37182916:+;chr21:37187097:+;chr21:37197695:+;chr21:37203104:+	distal	TRUE
AP4B1	71.1599099099099	1.291412729782e-14	1.07058115298927e-11	0.456081081081081	0.5	-0.0439189189189189	chr1:113902044:-_vs_chr1:113895147:-	-1.35135135135135	chr1:113894200:-;chr1:113895063:-;chr1:113895147:-;chr1:113902044:-;chr1:113903233:-	proximal	TRUE
KIDINS220	66.9713760678848	9.88528874233239e-14	5.46326957826237e-11	0.274390243902439	0.81	-0.535609756097561	chr2:8803035:-_vs_chr2:8730714:-	-1.07089430894309	chr2:8730714:-;chr2:8731732:-;chr2:8770671:-;chr2:8785765:-;chr2:8803035:-	proximal	TRUE
FARSB	52.8955385220126	3.51767665721174e-13	1.45807697441427e-10	0	0.923076923076923	-0.923076923076923	chr2:222571745:-_vs_chr2:222571313:-	-1.84615384615385	chr2:222571313:-;chr2:222571745:-	proximal	TRUE
HSP90AA1	65.6736573711364	8.12335931837645e-13	2.69370594997363e-10	0.444466800804829	0.333	0.111466800804829	chr14:102084841:-_vs_chr14:102081050:-	0.295422535211268	chr14:102081050:-;chr14:102083061:-;chr14:102084473:-;chr14:102084781:-;chr14:102084841:-;chr14:102084921:-	distal	TRUE
H3-3B	62.1085711000866	1.04515631171878e-12	2.88811527471624e-10	0.650220913107511	0.613149847094801	0.0370710660127098	chr17:75778023:-_vs_chr17:75777459:-	0.366256367296753	chr17:75776434:-;chr17:75777459:-;chr17:75778023:-;chr17:75778250:-;chr17:75778550:-	distal	TRUE
ANKRD36C	69.6973737373737	1.70080091491776e-12	4.02846845276235e-10	0.428571428571429	0.562770562770563	-0.134199134199134	chr2:95958613:-_vs_chr2:95923518:-	-0.733636363636364	chr2:95855492:-;chr2:95884196:-;chr2:95914133:-;chr2:95921630:-;chr2:95923518:-;chr2:95958613:-;chr2:95978153:-;chr2:95982321:-	proximal	TRUE
YWHAB	54.6250752182828	8.25457158626261e-12	1.71075996125293e-09	0.700854700854701	0.647619047619048	0.0532356532356533	chr20:44908131:+_vs_chr20:44908400:+	0.844688644688645	chr20:44905027:+;chr20:44908131:+;chr20:44908400:+;chr20:44908520:+	distal	TRUE
ZFR	53.9703822045092	1.13849870614003e-11	2.0973676164224e-09	0.432900432900433	0.814814814814815	-0.381914381914382	chr5:32397219:-_vs_chr5:32354615:-	-0.893217893217893	chr5:32354615:-;chr5:32395232:-;chr5:32397219:-;chr5:32406855:-	proximal	TRUE
AMER2	44.0502765208648	3.20048653685269e-11	5.30640667810177e-09	0	0.8125	-0.8125	chr13:25169091:-_vs_chr13:25161684:-	-1.625	chr13:25161684:-;chr13:25169091:-	proximal	TRUE
RTN4	60.4173460656626	3.70259554600004e-11	5.58082128660733e-09	0.316883116883117	0.38963963963964	-0.0727565227565228	chr2:55027115:-_vs_chr2:54981278:-	-0.243085293085293	chr2:54972189:-;chr2:54981278:-;chr2:55025982:-;chr2:55026078:-;chr2:55026370:-;chr2:55026600:-;chr2:55027115:-	proximal	TRUE
METAP2	50.8674975640261	5.22062682876013e-11	7.21316606840358e-09	0.460992907801418	0.726190476190476	-0.265197568389058	chr12:95514343:+_vs_chr12:95515839:+	-1.20288753799392	chr12:95483260:+;chr12:95494993:+;chr12:95514343:+;chr12:95515839:+	proximal	TRUE
ELAVL2	46.7408321162121	7.08528405528818e-11	8.4357088804006e-09	0.391666666666667	0.0214285714285714	0.370238095238095	chr9:23691880:-_vs_chr9:23691569:-	0.873809523809524	chr9:23690853:-;chr9:23691569:-;chr9:23691880:-	distal	TRUE
MSMO1	53.3720600913993	7.12303524279906e-11	8.4357088804006e-09	0.622431506849315	0.421428571428571	0.201002935420744	chr4:165341449:+_vs_chr4:165341915:+	0.602054794520548	chr4:165341449:+;chr4:165341915:+;chr4:165342063:+;chr4:165343070:+;chr4:165343164:+	distal	TRUE
NARF	40.4609846938775	2.00581582969955e-10	2.21709509709457e-08	1	0.533333333333333	0.466666666666667	chr17:82463185:+_vs_chr17:82488259:+	0.933333333333333	chr17:82463185:+;chr17:82488259:+	distal	TRUE
