gene_id	chisq	pvalue	adj_pvalue	ExDp	ExN2	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
CDC42	121.006464498574	4.68457285759514e-26	6.96595983924397e-23	0.345238095238095	0.672690763052209	-0.327452667814114	chr1:22090807:+_vs_chr1:22092943:+	-0.609411672664685	chr1:22090127:+;chr1:22090807:+;chr1:22091599:+;chr1:22092943:+	proximal	TRUE
SDCBP	87.5311270287502	9.83687761840022e-20	7.31371850928057e-17	0.714285714285714	0.94880174291939	-0.234516028633676	chr8:58582275:+_vs_chr8:58582840:+	-0.854497354497354	chr8:58579688:+;chr8:58582275:+;chr8:58582840:+	proximal	TRUE
RTN4	88.1808265789618	3.20524343639562e-18	1.58873232997343e-15	0.332474226804124	0.638429752066116	-0.305955525261992	chr2:55026600:-_vs_chr2:54972189:-	-0.700562324273664	chr2:54972189:-;chr2:55025982:-;chr2:55026078:-;chr2:55026600:-;chr2:55027115:-	proximal	TRUE
RPL15	87.1825417028814	2.62344215855596e-17	9.7526462244318e-15	0.60082304526749	0.483964365256125	0.116858680011365	chr3:23919552:+_vs_chr3:23920772:+	0.314292391872199	chr3:23919552:+;chr3:23919656:+;chr3:23919783:+;chr3:23920585:+;chr3:23920772:+;chr3:23920847:+	distal	TRUE
SUN1	60.2745439045183	8.15734990478506e-14	2.42599586168308e-11	0.367647058823529	0.958333333333333	-0.590686274509804	chr7:845517:+_vs_chr7:874899:+	-1.3921568627451	chr7:843812:+;chr7:845517:+;chr7:874899:+	proximal	TRUE
TERF2IP	61.9490976648765	2.25283850778971e-13	5.58328476847215e-11	0.469483568075117	0.642276422764228	-0.17279285468911	chr16:75656326:+_vs_chr16:75657432:+	-0.484369632428719	chr16:75654357:+;chr16:75656326:+;chr16:75656801:+;chr16:75657432:+	proximal	TRUE
FUS	54.2897457556936	1.62604101954807e-12	3.45417570866854e-10	0.4725	0.491847826086957	-0.0193478260869566	chr16:31186135:+_vs_chr16:31191605:+	-0.272391304347826	chr16:31186135:+;chr16:31191605:+;chr16:31191779:+	proximal	TRUE
MAP2	85.2061073399688	7.70592605166015e-12	1.43233900485233e-09	0.489855072463768	0.507835325365206	-0.0179802529014377	chr2:209725730:+_vs_chr2:209734112:+	0.188599638712232	chr2:209580099:+;chr2:209679812:+;chr2:209692830:+;chr2:209692958:+;chr2:209693437:+;chr2:209693544:+;chr2:209693923:+;chr2:209695108:+;chr2:209696647:+;chr2:209696704:+;chr2:209725730:+;chr2:209729898:+;chr2:209730502:+;chr2:209730895:+;chr2:209733900:+;chr2:209734112:+	distal	FALSE
DDX5	48.6021623992158	2.79366631153e-11	4.61575756138345e-09	0.390243902439024	0.444111776447106	-0.0538678740080814	chr17:64502479:-_vs_chr17:64499620:-	-0.387298573584538	chr17:64498254:-;chr17:64499620:-;chr17:64502479:-	proximal	TRUE
HNRNPK	53.1264954551989	8.01786018648474e-11	1.19225580973028e-08	0.454081632653061	0.324289405684755	0.129792226968307	chr9:83968909:-_vs_chr9:83968178:-	0.44734482940463	chr9:83968083:-;chr9:83968178:-;chr9:83968344:-;chr9:83968909:-;chr9:83977742:-	distal	TRUE
PALMD	44.4064864864865	2.27642831620276e-10	2.95416556505669e-08	0.433333333333333	0.75	-0.316666666666667	chr1:99690074:+_vs_chr1:99694372:+	-1.41666666666667	chr1:99687181:+;chr1:99690074:+;chr1:99694372:+	proximal	TRUE
MAPT	47.7695797176451	2.38399373104776e-10	2.95416556505669e-08	0.517647058823529	0.53030303030303	-0.0126559714795008	chr17:45988629:+_vs_chr17:46018729:+	0.544385026737968	chr17:45988629:+;chr17:46018729:+;chr17:46024431:+;chr17:46028334:+	distal	TRUE
RAE1	39.1996207596751	3.82614543391602e-10	4.37652173864086e-08	0.596153846153846	0.0579710144927536	0.538182831661092	chr20:57378463:+_vs_chr20:57379185:+	1.07636566332218	chr20:57378463:+;chr20:57379185:+	distal	TRUE
