gene_id	chisq	pvalue	adj_pvalue	ExM	ExN2	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
RTN4	96.5695951141019	5.50455796431169e-18	1.22201186807719e-14	0.311916726489591	0.602857142857143	-0.290940416367552	chr2:55027115:-_vs_chr2:54972189:-	-0.49270351758794	chr2:54972189:-;chr2:54972291:-;chr2:54973144:-;chr2:55025982:-;chr2:55026078:-;chr2:55026370:-;chr2:55026600:-;chr2:55027115:-	proximal	TRUE
HK1	63.9345023913821	1.30857676309788e-14	1.45252020703864e-11	0.807291666666667	0.333333333333333	0.473958333333333	chr10:69380336:+_vs_chr10:69401882:+	0.947916666666667	chr10:69380336:+;chr10:69386410:+;chr10:69401882:+	distal	TRUE
NEUROD6	80.2232990059959	1.45920136168168e-13	1.07980900764444e-10	0.512410656270305	0.557624113475177	-0.045213457204872	chr7:31338259:-_vs_chr7:31337925:-	-0.229269316909294	chr7:31337465:-;chr7:31337736:-;chr7:31337811:-;chr7:31337860:-;chr7:31337925:-;chr7:31338080:-;chr7:31338259:-;chr7:31338418:-;chr7:31338912:-;chr7:31339095:-	proximal	TRUE
HMGCS1	63.6695401071338	2.11518995676625e-12	1.17393042600527e-09	0.710837438423645	0.645	0.0658374384236453	chr5:43290574:-_vs_chr5:43290235:-	0.295935960591133	chr5:43289395:-;chr5:43290235:-;chr5:43290574:-;chr5:43290752:-;chr5:43293254:-;chr5:43294751:-	distal	TRUE
SPOP	55.538248705904	2.50581595231882e-11	1.11258228282956e-08	0.5	0.494736842105263	0.00526315789473686	chr17:49610218:-_vs_chr17:49600192:-	0.540890688259109	chr17:49599284:-;chr17:49599482:-;chr17:49599986:-;chr17:49600192:-;chr17:49610218:-	distal	TRUE
KIF1B	43.7817745258662	3.6710776726421e-11	1.35829873887758e-08	0	0.317073170731707	-0.317073170731707	chr1:10273030:+_vs_chr1:10274714:+	-0.634146341463415	chr1:10273030:+;chr1:10274714:+	proximal	TRUE
ANK2	53.9056748956749	5.50753573584524e-11	1.65390698566855e-08	0.524774774774775	0.775	-0.250225225225225	chr4:113353763:+_vs_chr4:113383732:+	-0.731531531531532	chr4:113336669:+;chr4:113341882:+;chr4:113353496:+;chr4:113353763:+;chr4:113383732:+	proximal	TRUE
DICER1	62.0186020607073	5.96002517358037e-11	1.65390698566855e-08	0.546031746031746	0.466165413533835	0.0798663324979115	chr14:95132043:-_vs_chr14:95124291:-	0.842690058479532	chr14:95099804:-;chr14:95116494:-;chr14:95124291:-;chr14:95126606:-;chr14:95129531:-;chr14:95132043:-;chr14:95133321:-;chr14:95133483:-	distal	TRUE
PSIP1	68.1634680904052	1.00184073794337e-10	2.47120715359364e-08	0.397894736842105	0.492307692307692	-0.0944129554655871	chr9:15474208:-_vs_chr9:15468650:-	-0.282995951417004	chr9:15464066:-;chr9:15464613:-;chr9:15466748:-;chr9:15468650:-;chr9:15469954:-;chr9:15470842:-;chr9:15471191:-;chr9:15474079:-;chr9:15474208:-;chr9:15486882:-;chr9:15490049:-	proximal	TRUE
SSBP2	41.6065565892403	1.11618309394855e-10	2.47792646856577e-08	0.0412371134020619	0.458333333333333	-0.417096219931271	chr5:81419932:-_vs_chr5:81419869:-	-0.834192439862543	chr5:81419869:-;chr5:81419932:-	proximal	TRUE
CDK11B	54.5079438530453	1.64791625606573e-10	3.32579462587811e-08	0.522105263157895	0.533333333333333	-0.0112280701754387	chr1:1638503:-_vs_chr1:1635587:-	-0.595321637426901	chr1:1635587:-;chr1:1638503:-;chr1:1641068:-;chr1:1649576:-;chr1:1649608:-;chr1:1652491:-	proximal	TRUE
TERF2IP	48.2121273491734	1.91924710565631e-10	3.55060714546418e-08	0.519731318219983	0.642276422764228	-0.122545104544244	chr16:75656801:+_vs_chr16:75657432:+	-0.348229096270812	chr16:75654357:+;chr16:75656326:+;chr16:75656801:+;chr16:75657432:+	proximal	TRUE
CAPZB	41.9376071214917	7.82283772521744e-10	1.3358999807679e-07	0.708333333333333	0.63013698630137	0.0781963470319634	chr1:19339357:-_vs_chr1:19339115:-	0.63162100456621	chr1:19338779:-;chr1:19339115:-;chr1:19339357:-	distal	TRUE
UBE2N	37.4475054231432	9.390672918885e-10	1.34715940391458e-07	0.6375	0.0256410256410256	0.611858974358974	chr12:93409357:-_vs_chr12:93408365:-	1.22371794871795	chr12:93408365:-;chr12:93409357:-	distal	TRUE
UPF3A	44.950733045805	9.47848283353926e-10	1.34715940391458e-07	0.884514435695538	0.575342465753425	0.309171969942113	chr13:114291532:+_vs_chr13:114305805:+	0.587099557760759	chr13:114284212:+;chr13:114291532:+;chr13:114291766:+;chr13:114305805:+	distal	TRUE
RPL7L1	50.7547620380008	9.7092569651501e-10	1.34715940391458e-07	0.475949367088608	0.779310344827586	-0.303360977738979	chr6:42887595:+_vs_chr6:42889889:+	-0.788738542121344	chr6:42886844:+;chr6:42887290:+;chr6:42887433:+;chr6:42887595:+;chr6:42887905:+;chr6:42889889:+	proximal	TRUE
GPM6A	47.791591883749	1.04307058281721e-09	1.36212746697306e-07	0.508340283569641	0.619922630560928	-0.111582346991287	chr4:175634820:-_vs_chr4:175632943:-	-0.275850442744841	chr4:175632943:-;chr4:175633448:-;chr4:175634532:-;chr4:175634820:-;chr4:175640800:-	proximal	TRUE
RAB1A	44.4124203412597	1.23346177406716e-09	1.5212695213495e-07	0.544086021505376	0.677333333333333	-0.133247311827957	chr2:65087878:-_vs_chr2:65086854:-	-0.557935483870968	chr2:65086854:-;chr2:65087878:-;chr2:65088428:-;chr2:65088590:-	proximal	TRUE
OPTN	46.1799438115228	2.25937806196624e-09	2.63990489345529e-07	0.412280701754386	0.408333333333333	0.00394736842105259	chr10:13124217:+_vs_chr10:13126036:+	0.657894736842105	chr10:13124217:+;chr10:13126036:+;chr10:13136995:+;chr10:13137312:+;chr10:13138308:+	distal	TRUE
ACAP3	35.5714645173335	2.45862883815761e-09	2.72907801035495e-07	0	1	-1	chr1:1292870:-_vs_chr1:1292391:-	-2	chr1:1292391:-;chr1:1292870:-	proximal	TRUE
