gene_id	chisq	pvalue	adj_pvalue	ExN1	ExNExM	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
PDIA6	82.5842213342898	4.93541357267148e-17	1.0275531058302e-13	0.546116504854369	0.494094488188976	-0.0520220166653926	chr2:10783855:-_vs_chr2:10783391:-	-0.70438039905206	chr2:10783391:-;chr2:10783855:-;chr2:10784008:-;chr2:10788704:-;chr2:10790782:-	proximal	TRUE
UBE2I	67.7064603682695	1.98485568907003e-15	2.0662347723219e-12	0.300613496932515	0.0546448087431694	-0.245968688189346	chr16:1325350:+_vs_chr16:1327015:+	-0.491937376378692	chr16:1325350:+;chr16:1326766:+;chr16:1327015:+	proximal	TRUE
ATF7IP	80.1677197132826	1.27317695880337e-14	8.83584809409541e-12	0.538302277432712	0.463796477495108	-0.0745057999376047	chr12:14425472:+_vs_chr12:14438156:+	0.666071074052015	chr12:14424935:+;chr12:14425028:+;chr12:14425192:+;chr12:14425472:+;chr12:14434368:+;chr12:14438156:+;chr12:14447045:+;chr12:14498552:+	distal	TRUE
CALM1	58.4354377962362	6.18254926363351e-12	3.21801689172124e-09	0.623505976095618	0.407534246575342	-0.215971729520275	chr14:90403939:+_vs_chr14:90405610:+	-0.522676417617202	chr14:90403939:+;chr14:90405107:+;chr14:90405213:+;chr14:90405610:+;chr14:90408268:+	proximal	TRUE
YWHAQ	52.2865356725416	1.2016698695951e-10	5.003753336994e-08	0.837517433751743	0.786713286713287	-0.0508041470384567	chr2:9584630:-_vs_chr2:9583977:-	-0.195579873404141	chr2:9583977:-;chr2:9584267:-;chr2:9584498:-;chr2:9584630:-;chr2:9584936:-	proximal	FALSE
ACTR2	48.095324317388	2.03230204746134e-10	7.05208810469086e-08	0.654970760233918	0.318627450980392	-0.336343309253526	chr2:65270138:+_vs_chr2:65271253:+	-0.789731682146543	chr2:65255616:+;chr2:65270138:+;chr2:65270269:+;chr2:65271253:+	proximal	TRUE
PPFIA2	46.5072329742775	4.4242240064993e-10	1.31589062593308e-07	0.691823899371069	0.326666666666667	-0.365157232704402	chr12:81375797:-_vs_chr12:81353110:-	-0.992830188679245	chr12:81353110:-;chr12:81368726:-;chr12:81375797:-;chr12:81384064:-	proximal	TRUE
SPIRE1	46.0444664197732	5.54935278084166e-10	1.44421906121404e-07	0.540540540540541	0.617816091954023	0.0772755514134825	chr18:12479790:-_vs_chr18:12446544:-	-0.62255358807083	chr18:12446544:-;chr18:12479790:-;chr18:12493116:-;chr18:12546852:-	proximal	TRUE
CAPRIN1	44.9371938320377	9.54148889451106e-10	2.20726443093022e-07	0.84180790960452	0.316666666666667	-0.525141242937853	chr11:34091967:+_vs_chr11:34101141:+	-0.952118644067797	chr11:34091967:+;chr11:34099516:+;chr11:34100493:+;chr11:34101141:+	proximal	TRUE
KLHL24	40.2030769230769	1.86214188338727e-09	3.69930242448314e-07	0.72	0.0909090909090909	-0.629090909090909	chr3:183672518:+_vs_chr3:183679147:+	-1.46909090909091	chr3:183672518:+;chr3:183679147:+;chr3:183680312:+	proximal	TRUE
ACTR3	49.269912713036	1.95448254895843e-09	3.69930242448314e-07	0.4390625	0.529064039408867	0.090001539408867	chr2:113957876:+_vs_chr2:113958561:+	0.460090825123153	chr2:113942221:+;chr2:113957688:+;chr2:113957876:+;chr2:113958184:+;chr2:113958257:+;chr2:113958561:+	distal	TRUE
CACYBP	42.9791284168944	2.48624161736781e-09	4.31362920613316e-07	0.737373737373737	0.347517730496454	-0.389856006877283	chr1:175010264:+_vs_chr1:175010801:+	-0.676982591876209	chr1:175008704:+;chr1:175010264:+;chr1:175010368:+;chr1:175010801:+	proximal	TRUE
TIAM2	45.6885108454831	2.85923395127429e-09	4.57917314350237e-07	0.556603773584906	0.80625	0.249646226415094	chr6:155149773:+_vs_chr6:155183486:+	0.513915094339623	chr6:155130406:+;chr6:155144732:+;chr6:155149773:+;chr6:155183486:+;chr6:155251981:+	distal	TRUE
EIF3F	41.4945970695971	5.13582640489088e-09	7.04244108543667e-07	0.388888888888889	0.443589743589744	0.0547008547008547	chr11:7996171:+_vs_chr11:7997474:+	0.348717948717949	chr11:7996007:+;chr11:7996171:+;chr11:7996421:+;chr11:7997474:+	distal	TRUE
KIF5C	47.1962685655218	5.18135334461041e-09	7.04244108543667e-07	0.259223300970874	0.313777777777778	0.054554476806904	chr2:148983686:+_vs_chr2:149000738:+	-0.190355987055016	chr2:148946951:+;chr2:148962060:+;chr2:148983686:+;chr2:149000738:+;chr2:149011683:+;chr2:149026731:+	proximal	FALSE
SEMA3C	47.1034832968889	5.41205847103682e-09	7.04244108543667e-07	0.565909090909091	0.36375	-0.202159090909091	chr7:80744420:-_vs_chr7:80744049:-	-0.449431818181818	chr7:80742538:-;chr7:80743984:-;chr7:80744049:-;chr7:80744367:-;chr7:80744420:-;chr7:80761617:-	proximal	TRUE
PARP1	46.8413725650679	6.12061824045569e-09	7.49595716272279e-07	0.43489932885906	0.421951219512195	-0.0129481093468652	chr1:226361003:-_vs_chr1:226360691:-	-0.417744311671305	chr1:226360691:-;chr1:226361003:-;chr1:226361200:-;chr1:226379623:-;chr1:226388689:-;chr1:226390419:-	proximal	TRUE
NBPF1	45.7488707595163	1.0216550923859e-08	1.18171439019302e-06	0.596610169491525	0.394444444444444	-0.202165725047081	chr1:16605417:-_vs_chr1:16573175:-	-0.548964218455744	chr1:16564862:-;chr1:16573175:-;chr1:16590974:-;chr1:16593105:-;chr1:16594971:-;chr1:16605417:-	proximal	TRUE
PPP1CB	42.5250220458554	1.2983235622693e-08	1.40143125587085e-06	0.850961538461538	0.555555555555555	-0.295405982905983	chr2:28799875:+_vs_chr2:28801037:+	-0.826923076923077	chr2:28799298:+;chr2:28799533:+;chr2:28799875:+;chr2:28800638:+;chr2:28801037:+	proximal	TRUE
ZPR1	32.2634271099744	1.34623559641773e-08	1.40143125587085e-06	0.941176470588235	0	-0.941176470588235	chr11:116778560:-_vs_chr11:116777720:-	-1.88235294117647	chr11:116777720:-;chr11:116778560:-	proximal	TRUE
DMTF1	35.8615144855145	1.63219135449146e-08	1.61820114288153e-06	0.642857142857143	0.326530612244898	-0.316326530612245	chr7:87182173:+_vs_chr7:87196050:+	-1.09387755102041	chr7:87182173:+;chr7:87196050:+;chr7:87196325:+	proximal	TRUE
SLA	38.7278063424367	1.98209292495393e-08	1.87578066807004e-06	0.643595863166269	0.522404371584699	-0.121191491581569	chr8:133037562:-_vs_chr8:133036728:-	-0.273938729997261	chr8:133036728:-;chr8:133037562:-;chr8:133038598:-;chr8:133060160:-	proximal	TRUE
FAM126A	46.2242176295529	2.67131693590913e-08	2.41812254807079e-06	0.596096096096096	0.479452054794521	-0.116644041301576	chr7:22944499:-_vs_chr7:22944397:-	-0.343823275330125	chr7:22944397:-;chr7:22944499:-;chr7:22944588:-;chr7:22945686:-;chr7:22945969:-;chr7:22964492:-;chr7:23011160:-	proximal	TRUE
SEPTIN2	42.9508334723647	3.78083979756498e-08	3.27987852438762e-06	0.849180327868852	0.538461538461539	-0.310718789407314	chr2:241352555:+_vs_chr2:241354027:+	-0.644388398486759	chr2:241337788:+;chr2:241351994:+;chr2:241352555:+;chr2:241353497:+;chr2:241353736:+;chr2:241354027:+	proximal	TRUE
PEA15	34.0873048624054	3.96310699666375e-08	3.30047550682157e-06	0.695652173913043	0.648936170212766	-0.0467160037002775	chr1:160214639:+_vs_chr1:160215372:+	-0.665124884366328	chr1:160211963:+;chr1:160214639:+;chr1:160215372:+	proximal	TRUE
IL17RD	33.8480397022333	4.46674918707212e-08	3.51015423968729e-06	0.419354838709677	0.375	-0.0443548387096774	chr3:57096081:-_vs_chr3:57094419:-	-1.07258064516129	chr3:57094419:-;chr3:57096081:-;chr3:57096388:-	proximal	TRUE
SNRNP40	36.9954627244101	4.61156187956227e-08	3.51015423968729e-06	0.487179487179487	0.607407407407407	0.12022792022792	chr1:31291729:-_vs_chr1:31259675:-	0.842735042735043	chr1:31259568:-;chr1:31259675:-;chr1:31270070:-;chr1:31291729:-	distal	TRUE
EEF2	29.8282343847657	4.72066852599635e-08	3.51015423968729e-06	0.846497764530551	0.718213058419244	-0.128284706111307	chr19:3981408:-_vs_chr19:3976056:-	-0.256569412222615	chr19:3976056:-;chr19:3981408:-	proximal	TRUE
FDFT1	33.5151544379188	5.27565860181367e-08	3.78755903757795e-06	0.406028368794326	0.564981949458484	0.158953580664158	chr8:11838667:+_vs_chr8:11839298:+	0.317907161328315	chr8:11838667:+;chr8:11838962:+;chr8:11839298:+	distal	TRUE
SEMA5B	28.6534090909091	8.65614691919906e-08	5.97157206801136e-06	1	0	-1	chr3:122947892:-_vs_chr3:122909190:-	-2	chr3:122909190:-;chr3:122947892:-	proximal	TRUE
NEUROG2	28.6014865637507	8.89138972662594e-08	5.97157206801136e-06	1	0.476190476190476	-0.523809523809524	chr4:112513643:-_vs_chr4:112513516:-	-1.04761904761905	chr4:112513516:-;chr4:112513643:-	proximal	TRUE
EWSR1	38.1535618870566	1.04172571344924e-07	6.77772792312912e-06	0.837147887323944	0.827922077922078	-0.00922580940186579	chr22:29300336:+_vs_chr22:29300519:+	-0.253749771355405	chr22:29288048:+;chr22:29289879:+;chr22:29290845:+;chr22:29300336:+;chr22:29300519:+	proximal	TRUE
RBM8A	27.6778539676687	1.43293813381393e-07	8.70274836223466e-06	0.375	0	-0.375	chr1:145925723:-_vs_chr1:145923648:-	-0.75	chr1:145923648:-;chr1:145925723:-	proximal	TRUE
ITFG1	31.4551158301158	1.47777523305981e-07	8.70274836223466e-06	0.5	0.833333333333333	0.333333333333333	chr16:47155394:-_vs_chr16:47154387:-	0.887387387387387	chr16:47154387:-;chr16:47155394:-;chr16:47155560:-	distal	TRUE
FRMD4B	34.5989137620236	1.4806794836041e-07	8.70274836223466e-06	0.344086021505376	0.294736842105263	-0.0493491794001132	chr3:69195279:-_vs_chr3:69170806:-	-0.658064516129032	chr3:69170806:-;chr3:69193689:-;chr3:69195279:-;chr3:69311296:-	proximal	TRUE
MLLT3	42.4406564324918	1.50479798770628e-07	8.70274836223466e-06	0.308027923211169	0.437333333333333	0.129305410122164	chr9:20413862:-_vs_chr9:20354827:-	0.241298429319372	chr9:20345285:-;chr9:20346136:-;chr9:20354827:-;chr9:20413862:-;chr9:20414126:-;chr9:20414156:-;chr9:20456708:-	distal	TRUE
KDM1A	36.8462462268914	1.93757425540574e-07	1.09027827020399e-05	0.564516129032258	0.545833333333333	-0.0186827956989246	chr1:23072168:+_vs_chr1:23083686:+	-0.61989247311828	chr1:23030608:+;chr1:23055165:+;chr1:23059137:+;chr1:23072168:+;chr1:23083686:+	proximal	TRUE
PRMT2	41.8200525163537	1.99549445999956e-07	1.09332091203134e-05	0.852331606217617	0.70343137254902	-0.148900233668597	chr21:46659140:+_vs_chr21:46664941:+	-0.362580006095703	chr21:46637978:+;chr21:46648529:+;chr21:46659140:+;chr21:46659537:+;chr21:46660144:+;chr21:46661270:+;chr21:46664941:+	proximal	TRUE
POGK	30.6283229813665	2.23431380884735e-07	1.19277983333851e-05	0.739130434782609	0.371428571428571	-0.367701863354037	chr1:166852891:+_vs_chr1:166854466:+	-1.22484472049689	chr1:166851472:+;chr1:166852891:+;chr1:166854466:+	proximal	TRUE
FEZ1	30.2270356685178	2.73075415062822e-07	1.39845895695484e-05	0.984496124031008	0.866834170854271	-0.117661953176736	chr11:125488213:-_vs_chr11:125445752:-	-0.235323906353473	chr11:125445752:-;chr11:125487741:-;chr11:125488213:-	proximal	TRUE
NOL11	33.2943322134474	2.79160755476607e-07	1.39845895695484e-05	0.341085271317829	0.67479674796748	0.33371147664965	chr17:67738278:+_vs_chr17:67743813:+	0.823028927963698	chr17:67738278:+;chr17:67743813:+;chr17:67744151:+;chr17:67744203:+	distal	TRUE
CLK3	26.368458781362	2.82109876042763e-07	1.39845895695484e-05	0.105263157894737	0.710526315789474	0.605263157894737	chr15:74630118:+_vs_chr15:74630201:+	1.21052631578947	chr15:74630118:+;chr15:74630201:+	distal	TRUE
ESF1	26.1333333333333	3.18635546284691e-07	1.54278885433658e-05	0	1	1	chr20:13766860:-_vs_chr20:13759735:-	2	chr20:13759735:-;chr20:13766860:-	distal	TRUE
TTC19	26.009315488706	3.3977392897389e-07	1.60774845482645e-05	0.964285714285714	0.317073170731707	-0.647212543554007	chr17:16028197:+_vs_chr17:16028784:+	-1.29442508710801	chr17:16028197:+;chr17:16028784:+	proximal	TRUE
CREB1	29.70880865958	3.53845899834518e-07	1.63712702990103e-05	0.586206896551724	0.5	-0.0862068965517241	chr2:207598523:+_vs_chr2:207598697:+	-1.21120689655172	chr2:207597957:+;chr2:207598523:+;chr2:207598697:+	proximal	TRUE
PRSS12	35.1447477253929	4.33792875440582e-07	1.93197947552907e-05	0.620967741935484	0.487179487179487	-0.133788254755997	chr4:118305606:-_vs_chr4:118281714:-	-0.713813068651778	chr4:118280038:-;chr4:118281714:-;chr4:118288610:-;chr4:118305606:-;chr4:118335540:-	proximal	TRUE
CCDC112	37.6867533857305	4.36133695244315e-07	1.93197947552907e-05	0.496153846153846	0.529411764705882	0.0332579185520362	chr5:115279659:-_vs_chr5:115267355:-	0.34841628959276	chr5:115267190:-;chr5:115267355:-;chr5:115271504:-;chr5:115275542:-;chr5:115279659:-;chr5:115284798:-	distal	TRUE
SPCS2	32.2354873619145	4.66826178342903e-07	2.01398670933843e-05	0.515151515151515	0.328083989501312	-0.187067525650203	chr11:74977116:+_vs_chr11:74977720:+	-0.493772369362921	chr11:74977039:+;chr11:74977116:+;chr11:74977636:+;chr11:74977720:+	proximal	TRUE
TOB1	29.1241464417935	4.73993029575326e-07	2.01398670933843e-05	0.903846153846154	0.433333333333333	-0.470512820512821	chr17:50862845:-_vs_chr17:50862223:-	-1.21282051282051	chr17:50862223:-;chr17:50862845:-;chr17:50862969:-	proximal	TRUE
KHDRBS1	37.3813240820964	5.02245635761998e-07	2.09135082731296e-05	0.745652173913044	0.721678321678322	-0.0239738522347218	chr1:32042972:+_vs_chr1:32043301:+	-0.317535725144421	chr1:32040031:+;chr1:32042631:+;chr1:32042817:+;chr1:32042972:+;chr1:32043301:+;chr1:32043877:+	proximal	TRUE
ACIN1	28.9122016755209	5.26981265822708e-07	2.1367329516483e-05	0.559748427672956	0.37	-0.189748427672956	chr14:23080360:-_vs_chr14:23061315:-	-0.472201257861635	chr14:23058564:-;chr14:23061315:-;chr14:23080360:-	proximal	TRUE
RTN1	28.8869759823363	5.33670093591313e-07	2.1367329516483e-05	0.825242718446602	0.758369723435226	-0.0668729950113764	chr14:59596174:-_vs_chr14:59595983:-	-0.219457045547689	chr14:59595983:-;chr14:59596174:-;chr14:59596534:-	proximal	TRUE
CNN3	36.6495311452091	7.04075989469024e-07	2.6761443556998e-05	0.583703703703704	0.810909090909091	0.227205387205387	chr1:94901708:-_vs_chr1:94896957:-	0.481481481481482	chr1:94896957:-;chr1:94897208:-;chr1:94897406:-;chr1:94897502:-;chr1:94897617:-;chr1:94901708:-	distal	TRUE
RAB14	28.3313840155945	7.04560235782407e-07	2.6761443556998e-05	0.94	0.527777777777778	-0.412222222222222	chr9:121180677:-_vs_chr9:121179290:-	-0.824444444444445	chr9:121179290:-;chr9:121179706:-;chr9:121180677:-	proximal	TRUE
C2CD5	24.5960784313725	7.06954560823676e-07	2.6761443556998e-05	0.0588235294117647	1	0.941176470588235	chr12:22482638:-_vs_chr12:22448583:-	1.88235294117647	chr12:22448583:-;chr12:22482638:-	distal	TRUE
NSD3	31.0207822806802	8.41526138541155e-07	3.12867396507622e-05	0.479674796747967	0.527131782945736	0.047456986197769	chr8:38347703:-_vs_chr8:38338548:-	0.782189449801475	chr8:38275640:-;chr8:38326841:-;chr8:38338548:-;chr8:38347703:-	distal	TRUE
IRF2BPL	27.8712457912458	8.86820807748061e-07	3.21085028611078e-05	0.272727272727273	0.72	0.447272727272727	chr14:77025268:-_vs_chr14:77025000:-	1.10545454545455	chr14:77024543:-;chr14:77025000:-;chr14:77025268:-	distal	TRUE
PHYKPL	24.1428571428571	8.94473182490033e-07	3.21085028611078e-05	1	0	-1	chr5:178208626:-_vs_chr5:178208589:-	-2	chr5:178208589:-;chr5:178208626:-	proximal	TRUE
GRIA2	27.0713252570391	1.32292861855041e-06	4.66836844715585e-05	0.398963730569948	0.441176470588235	0.0422127400182871	chr4:157321566:+_vs_chr4:157333307:+	0.477788783907345	chr4:157321566:+;chr4:157333307:+;chr4:157335699:+	distal	TRUE
SSR1	26.9537190082645	1.40305366958104e-06	4.8685962334462e-05	0.647727272727273	0.41	-0.237727272727273	chr6:7288495:-_vs_chr6:7287570:-	-0.479090909090909	chr6:7287570:-;chr6:7288495:-;chr6:7289164:-	proximal	TRUE
TCERG1	35.0563215794842	1.46620626150649e-06	4.98833411121777e-05	0.445614035087719	0.267391304347826	-0.178222730739893	chr5:146470665:+_vs_chr5:146483763:+	-0.508199847444699	chr5:146469743:+;chr5:146470665:+;chr5:146470747:+;chr5:146471522:+;chr5:146483763:+;chr5:146503935:+	proximal	TRUE
CCND2	32.5373340505915	1.48547893801874e-06	4.98833411121777e-05	0.166666666666667	0.334134615384615	0.167467948717949	chr12:4300193:+_vs_chr12:4300462:+	0.495689655172414	chr12:4300193:+;chr12:4300462:+;chr12:4300989:+;chr12:4301290:+;chr12:4301558:+	distal	TRUE
NREP	34.8570789005966	1.60676731804053e-06	5.28114475875135e-05	0.711360799001248	0.666939611054248	-0.0444211879470009	chr5:111730035:-_vs_chr5:111729303:-	-0.159478236646362	chr5:111729303:-;chr5:111729731:-;chr5:111729843:-;chr5:111729940:-;chr5:111730035:-;chr5:111734729:-	proximal	FALSE
XRN2	32.3488077496274	1.62340665014451e-06	5.28114475875135e-05	0.575	0.487704918032787	-0.087295081967213	chr20:21330513:+_vs_chr20:21349460:+	-0.528196721311475	chr20:21328612:+;chr20:21330513:+;chr20:21334169:+;chr20:21349460:+;chr20:21389822:+	proximal	TRUE
C12orf43	22.7775297619048	1.81879887930366e-06	5.82575271801572e-05	0.958333333333333	0.227272727272727	-0.731060606060606	chr12:121004371:-_vs_chr12:121004223:-	-1.46212121212121	chr12:121004223:-;chr12:121004371:-	proximal	TRUE
THRAP3	31.9866500120526	1.92515439974676e-06	6.07298706101934e-05	0.370229007633588	0.333333333333333	-0.0368956743002545	chr1:36289138:+_vs_chr1:36292693:+	-0.293568827021903	chr1:36289081:+;chr1:36289138:+;chr1:36291436:+;chr1:36292693:+;chr1:36296765:+	proximal	TRUE
CMPK1	29.2491761997228	1.98504851082107e-06	6.1684641784022e-05	0.721311475409836	0.5	-0.221311475409836	chr1:47375249:+_vs_chr1:47377282:+	-0.563934426229508	chr1:47375249:+;chr1:47377282:+;chr1:47377763:+;chr1:47378839:+	proximal	TRUE
RAB6A	29.209309732665	2.02371937027522e-06	6.19615254251912e-05	0.718518518518518	0.375	-0.343518518518518	chr11:73676209:-_vs_chr11:73675653:-	-0.536111111111111	chr11:73675653:-;chr11:73675893:-;chr11:73676209:-;chr11:73676810:-	proximal	TRUE
DSTN	36.5912152857654	2.11529221427367e-06	6.32673134417292e-05	0.519753086419753	0.640625	0.120871913580247	chr20:17607358:+_vs_chr20:17608000:+	0.348842592592593	chr20:17601010:+;chr20:17604624:+;chr20:17607210:+;chr20:17607358:+;chr20:17607925:+;chr20:17608000:+;chr20:17608242:+	distal	TRUE
MSMO1	29.1063123330253	2.12714310322817e-06	6.32673134417292e-05	0.611683848797251	0.491228070175439	-0.120455778621812	chr4:165342063:+_vs_chr4:165343070:+	-0.364506627393225	chr4:165341915:+;chr4:165342063:+;chr4:165343070:+;chr4:165343164:+	proximal	TRUE
PIAS1	25.6715330823937	2.66377427309753e-06	7.8112366712522e-05	0.36046511627907	0.304347826086957	-0.0561172901921133	chr15:68188098:+_vs_chr15:68191464:+	-0.864509605662285	chr15:68176541:+;chr15:68188098:+;chr15:68191464:+	proximal	TRUE
