gene_id	chisq	pvalue	adj_pvalue	ExMU	ExN3	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
MSMO1	102.030080869994	1.97272465606634e-20	3.10506860864841e-17	0.697674418604651	0.405714285714286	0.291960132890365	chr4:165341449:+_vs_chr4:165343164:+	0.562790697674419	chr4:165341449:+;chr4:165341915:+;chr4:165342063:+;chr4:165342147:+;chr4:165343070:+;chr4:165343164:+	distal	TRUE
RTN4	108.591564533058	7.41305415806909e-20	5.83407362240037e-17	0.270275297619048	0.355833333333333	-0.0855580357142857	chr2:55027115:-_vs_chr2:54981278:-	-0.185535714285714	chr2:54972189:-;chr2:54972291:-;chr2:54981278:-;chr2:55025759:-;chr2:55025982:-;chr2:55026078:-;chr2:55026370:-;chr2:55026600:-;chr2:55027115:-	proximal	FALSE
KIDINS220	84.6512106713064	1.79873754100385e-17	9.43737629846688e-15	0.216942148760331	0.82	-0.603057851239669	chr2:8803035:-_vs_chr2:8730714:-	-1.19371900826446	chr2:8730714:-;chr2:8778948:-;chr2:8785765:-;chr2:8796772:-;chr2:8803035:-	proximal	TRUE
H3-3B	79.0777438456154	4.83999285425924e-17	1.90453718815101e-14	0.526504941599281	0.489230769230769	0.037274172368512	chr17:75778023:-_vs_chr17:75777459:-	0.518258345428157	chr17:75776434:-;chr17:75777459:-;chr17:75778023:-;chr17:75778250:-	distal	TRUE
SMARCC2	63.3588884734725	1.74498692917185e-14	5.49321885303298e-12	0.394495412844037	0.796296296296296	-0.40180088345226	chr12:56181494:-_vs_chr12:56162365:-	-1.08630648997621	chr12:56162365:-;chr12:56181494:-;chr12:56181753:-	proximal	TRUE
NDFIP1	58.4009690022621	1.29060994666984e-12	3.18958528475603e-10	0.68007662835249	0.495726495726496	0.184350132625995	chr5:142138870:+_vs_chr5:142152775:+	0.551282051282051	chr5:142138870:+;chr5:142151866:+;chr5:142152775:+;chr5:142153198:+	distal	TRUE
DEGS1	61.4779411764706	1.41849409106049e-12	3.18958528475603e-10	0.386363636363636	0.75	-0.363636363636364	chr1:224193160:+_vs_chr1:224193259:+	-0.902597402597403	chr1:224192896:+;chr1:224193091:+;chr1:224193160:+;chr1:224193259:+;chr1:224193441:+	proximal	TRUE
SRSF2	48.3796896171851	3.51186720780517e-12	6.40237136966799e-10	1	0.691176470588235	0.308823529411765	chr17:76735548:-_vs_chr17:76734128:-	0.617647058823529	chr17:76734128:-;chr17:76735548:-	distal	TRUE
METAP2	52.6666666666667	3.66082225711639e-12	6.40237136966799e-10	0.342592592592593	0.62962962962963	-0.287037037037037	chr12:95514343:+_vs_chr12:95515839:+	-1.31481481481481	chr12:95494993:+;chr12:95514343:+;chr12:95515839:+	proximal	TRUE
HDGFL3	50.9570251058681	8.60642108964454e-12	1.35465067951005e-09	0.181034482758621	0.833333333333333	-0.652298850574713	chr15:83157451:-_vs_chr15:83137800:-	-1.30459770114943	chr15:83137800:-;chr15:83138192:-;chr15:83157451:-	proximal	TRUE
ZFR	52.9766067266067	1.85453726858003e-11	2.65367423704088e-09	0.384259259259259	0.814814814814815	-0.430555555555556	chr5:32397219:-_vs_chr5:32354615:-	-1.125	chr5:32354615:-;chr5:32395232:-;chr5:32397219:-;chr5:32406855:-	proximal	TRUE
DPYSL2	44.1157200727513	3.09525153904526e-11	4.05993826871436e-09	0.977777777777778	0.4	0.577777777777778	chr8:26657129:+_vs_chr8:26658175:+	1.15555555555556	chr8:26657129:+;chr8:26658175:+	distal	TRUE
SLC39A6	54.4130833941517	4.31220016064653e-11	5.22107927142896e-09	0.251470588235294	0.16025641025641	0.0912141779788839	chr18:36116760:-_vs_chr18:36108531:-	0.358521870286576	chr18:36108531:-;chr18:36109094:-;chr18:36109164:-;chr18:36116760:-;chr18:36122053:-	distal	TRUE
TOP2B	50.7192137550619	5.61450845651917e-11	6.31231165040084e-09	0.374269005847953	0.92156862745098	-0.547299621603027	chr3:25632720:-_vs_chr3:25627274:-	-1.12796697626419	chr3:25627274:-;chr3:25630094:-;chr3:25632689:-;chr3:25632720:-	proximal	TRUE
HNRNPU	58.8667823685385	7.64504377930351e-11	7.8417669361551e-09	0.463414634146341	0.570294784580499	-0.106880150434157	chr1:244858777:-_vs_chr1:244855993:-	-0.513543222166916	chr1:244853388:-;chr1:244853658:-;chr1:244855993:-;chr1:244856592:-;chr1:244857650:-;chr1:244858777:-;chr1:244862694:-	proximal	TRUE
PPP4R3B	46.4295218295218	8.27861023399522e-11	7.8417669361551e-09	0.736111111111111	0.15	0.586111111111111	chr2:55613997:-_vs_chr2:55564416:-	1.17222222222222	chr2:55564416:-;chr2:55564928:-;chr2:55613997:-	distal	TRUE
