gene_id	chisq	pvalue	adj_pvalue	ExN1	ExN3	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
MSMO1	95.0569708928949	1.10825008879576e-19	1.55709137475805e-16	0.708762886597938	0.421428571428571	0.287334315169367	chr4:165341449:+_vs_chr4:165343070:+	0.66480117820324	chr4:165341449:+;chr4:165341915:+;chr4:165342063:+;chr4:165343070:+;chr4:165343164:+	distal	TRUE
SRSF2	85.2717059976013	2.26899327352201e-18	1.59396777464921e-15	0.935843793584379	0.691176470588235	0.244667322996144	chr17:76735548:-_vs_chr17:76734128:-	0.475387644597588	chr17:76734128:-;chr17:76734297:-;chr17:76734837:-;chr17:76735548:-	distal	TRUE
PKIA	69.2014837377737	9.39915337770233e-16	4.40193683189059e-13	0.723880597014925	0.533333333333333	0.190547263681592	chr8:78602248:+_vs_chr8:78602376:+	1.5681592039801	chr8:78601920:+;chr8:78602248:+;chr8:78602376:+	distal	TRUE
YWHAQ	72.2610304502922	7.55870828716517e-15	2.65499628586677e-12	0.837517433751743	0.745867768595041	0.091649665156702	chr2:9584630:-_vs_chr2:9583977:-	0.270277902647625	chr2:9583977:-;chr2:9584267:-;chr2:9584498:-;chr2:9584630:-;chr2:9584936:-	distal	TRUE
AP4B1	61.6045673076923	4.19506002312417e-14	1.17881186649789e-11	0.509615384615385	0.5	0.00961538461538458	chr1:113895147:-_vs_chr1:113895063:-	1.48076923076923	chr1:113895063:-;chr1:113895147:-;chr1:113902044:-	distal	TRUE
SH3BP5	54.6844884310931	1.41518878711104e-13	3.31390040981835e-11	0.0210526315789474	0.62962962962963	-0.608576998050682	chr3:15255650:-_vs_chr3:15254853:-	-1.21715399610136	chr3:15254853:-;chr3:15255650:-	proximal	TRUE
ZFR	62.3414755457309	9.33644641737898e-13	1.87395817377392e-10	0.430555555555556	0.611111111111111	-0.180555555555556	chr5:32397219:-_vs_chr5:32354615:-	-0.855555555555556	chr5:32354350:-;chr5:32354615:-;chr5:32395232:-;chr5:32397219:-;chr5:32406855:-	proximal	TRUE
METAP2	57.2474695192087	2.27554250488667e-12	3.99642152420722e-10	0.458333333333333	0.753086419753086	-0.294753086419753	chr12:95514343:+_vs_chr12:95515839:+	-1.2010582010582	chr12:95494095:+;chr12:95494993:+;chr12:95514343:+;chr12:95515839:+	proximal	TRUE
NBPF1	59.3304473304473	4.01054316026669e-12	6.26090348908301e-10	0.662037037037037	0.181818181818182	0.480218855218855	chr1:16593670:-_vs_chr1:16590974:-	1.07912457912458	chr1:16573175:-;chr1:16590974:-;chr1:16593105:-;chr1:16593670:-;chr1:16594971:-	distal	TRUE
SLC17A6	58.8734579615323	5.00252209599731e-12	7.02854354487622e-10	0.658854166666667	0.363636363636364	0.295217803030303	chr11:22345041:+_vs_chr11:22377879:+	0.9375	chr11:22345041:+;chr11:22377536:+;chr11:22377592:+;chr11:22377879:+;chr11:22378509:+	distal	TRUE
NARF	47.3307239382239	5.99649118450597e-12	7.65915464930081e-10	0.990990990990991	0.533333333333333	0.457657657657658	chr17:82463185:+_vs_chr17:82488259:+	0.915315315315315	chr17:82463185:+;chr17:82488259:+	distal	TRUE
NOL11	53.395225464191	1.51001719677299e-11	1.76797846788837e-09	0.307692307692308	0.474358974358974	-0.166666666666667	chr17:67738278:+_vs_chr17:67743813:+	-1.07692307692308	chr17:67738278:+;chr17:67743813:+;chr17:67744090:+;chr17:67744203:+	proximal	TRUE
OS9	42.6717717976822	6.47398292429731e-11	6.99688154510594e-09	0.919642857142857	0.418604651162791	0.501038205980066	chr12:57719138:+_vs_chr12:57721557:+	1.00207641196013	chr12:57719138:+;chr12:57721557:+	distal	TRUE
PANTR1	42.4732182605683	7.16567103713371e-11	7.00392171411530e-09	1	0.894736842105263	0.105263157894737	chr2:104840598:-_vs_chr2:104807576:-	0.210526315789474	chr2:104807576:-;chr2:104840598:-	distal	TRUE
REEP5	42.2840093259668	7.89353317465151e-11	7.00392171411530e-09	0.901408450704225	0	0.901408450704225	chr5:112878492:-_vs_chr5:112876385:-	1.80281690140845	chr5:112876385:-;chr5:112878492:-	distal	TRUE
