gene_id	chisq	pvalue	adj_pvalue	ExN2	ExN3	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
SMARCC2	85.9563820254219	2.16176659218127e-19	2.70437000681876e-16	0.428571428571429	0.796296296296296	-0.367724867724868	chr12:56181494:-_vs_chr12:56162365:-	-1.26455026455026	chr12:56162365:-;chr12:56181494:-;chr12:56181753:-	proximal	TRUE
RTN4	84.0577160189601	5.17395959212079e-16	3.23631172487156e-13	0.613605442176871	0.38963963963964	0.223965802537231	chr2:55026600:-_vs_chr2:54972189:-	0.499117484831771	chr2:54972189:-;chr2:54981278:-;chr2:55025982:-;chr2:55026078:-;chr2:55026370:-;chr2:55026600:-;chr2:55027115:-	distal	TRUE
HSP90AA1	78.221251048034	8.32204155746917e-15	3.47029132946465e-12	0.449057714958775	0.288333333333333	0.160724381625442	chr14:102084841:-_vs_chr14:102081050:-	0.323939929328622	chr14:102081050:-;chr14:102081614:-;chr14:102083061:-;chr14:102084473:-;chr14:102084781:-;chr14:102084841:-;chr14:102084921:-	distal	TRUE
SRSF2	58.71554754366	1.77861049218654e-13	5.56260431431341e-11	0.903448275862069	0.691176470588235	0.212271805273834	chr17:76735548:-_vs_chr17:76734297:-	0.501926977687627	chr17:76734128:-;chr17:76734297:-;chr17:76735548:-	distal	TRUE
ACIN1	57.7309260797342	2.90997115585071e-13	7.28074783193847e-11	0.68125	0.2578125	0.4234375	chr14:23080360:-_vs_chr14:23061315:-	0.925	chr14:23058564:-;chr14:23061315:-;chr14:23080360:-	distal	TRUE
RAB10	51.6872601083127	6.50836979716216e-13	1.35699510270831e-10	1	0.0454545454545455	0.954545454545455	chr2:26135473:+_vs_chr2:26137411:+	1.90909090909091	chr2:26135473:+;chr2:26137411:+	distal	TRUE
PSIP1	67.0006128173097	1.93835680109036e-11	3.46412051166291e-09	0.497933884297521	0.553977272727273	-0.056043388429752	chr9:15468650:-_vs_chr9:15466748:-	-0.493801652892562	chr9:15464613:-;chr9:15466748:-;chr9:15468650:-;chr9:15469954:-;chr9:15470842:-;chr9:15474079:-;chr9:15474208:-;chr9:15486882:-;chr9:15490049:-	proximal	TRUE
IP6K2	51.9047617034554	3.13838058655092e-11	4.907642642219e-09	0.325301204819277	0.571428571428572	-0.246127366609294	chr3:48693448:-_vs_chr3:48691422:-	-1.01170395869191	chr3:48691422:-;chr3:48693005:-;chr3:48693448:-;chr3:48693764:-	proximal	TRUE
MAP2	71.8458560047588	5.43833129883178e-11	7.55928050537618e-09	0.481094127111826	0.492929292929293	-0.0118351658174667	chr2:209725730:+_vs_chr2:209734112:+	-0.32133726647001	chr2:209580099:+;chr2:209679812:+;chr2:209692830:+;chr2:209692958:+;chr2:209693923:+;chr2:209696647:+;chr2:209725730:+;chr2:209729898:+;chr2:209730502:+;chr2:209730895:+;chr2:209733900:+;chr2:209734112:+	proximal	TRUE
PTN	49.459134390742	1.04154393694022e-10	1.30297146511221e-08	0.771084337349398	0.343137254901961	0.427947082447437	chr7:137228041:-_vs_chr7:137227592:-	0.794826364280652	chr7:137227592:-;chr7:137227880:-;chr7:137228041:-;chr7:137254860:-	distal	TRUE
H3-3B	48.2625615545495	1.87239471989718e-10	2.12942344962852e-08	0.574438202247191	0.489230769230769	0.0852074330164218	chr17:75778023:-_vs_chr17:75777459:-	0.318422644770959	chr17:75776434:-;chr17:75777459:-;chr17:75778023:-;chr17:75778250:-	distal	TRUE
LINC01551	50.8700980392157	2.37617643135226e-10	2.47716392968473e-08	0.497395833333333	0.340909090909091	0.156486742424242	chr14:28793072:+_vs_chr14:28793966:+	0.604166666666667	chr14:28792118:+;chr14:28792278:+;chr14:28793072:+;chr14:28793232:+;chr14:28793966:+	distal	TRUE
ABI1	39.7846779336735	2.83560912087432e-10	2.68826659839219e-08	1	0	1	chr10:26748078:-_vs_chr10:26747831:-	2	chr10:26747831:-;chr10:26748078:-	distal	TRUE
SLC17A6	53.2358519193607	3.00845182873627e-10	2.68826659839219e-08	0.544761904761905	0.345454545454545	0.199307359307359	chr11:22345041:+_vs_chr11:22377879:+	0.938095238095238	chr11:22345041:+;chr11:22377536:+;chr11:22377592:+;chr11:22377879:+;chr11:22378235:+;chr11:22378509:+	distal	TRUE
MSMO1	49.5334060769969	4.5187299504683e-10	3.76862077869056e-08	0.710674157303371	0.421428571428571	0.289245585874799	chr4:165341449:+_vs_chr4:165343164:+	0.660674157303371	chr4:165341449:+;chr4:165341915:+;chr4:165342063:+;chr4:165343070:+;chr4:165343164:+	distal	TRUE
RBMX	45.1499431473296	8.59807218727646e-10	6.72261769142678e-08	0.225589225589226	0.311827956989247	-0.0862387314000217	chrX:136873461:-_vs_chrX:136869192:-	-0.490496361464103	chrX:136869192:-;chrX:136873371:-;chrX:136873461:-;chrX:136874047:-	proximal	TRUE
CEP170	60.8612550641841	9.14574101421435e-10	6.73018941693067e-08	0.5969868173258	0.434472934472934	0.162513882852866	chr1:243172730:-_vs_chr1:243165893:-	0.387766188613646	chr1:243125211:-;chr1:243164980:-;chr1:243165096:-;chr1:243165527:-;chr1:243165893:-;chr1:243172730:-;chr1:243172775:-;chr1:243185790:-;chr1:243191027:-;chr1:243191331:-	distal	TRUE
NDFIP1	40.7410714285714	1.42294707044029e-09	9.88948213956004e-08	0.925	0.657142857142857	0.267857142857143	chr5:142138870:+_vs_chr5:142152775:+	0.535714285714286	chr5:142138870:+;chr5:142151866:+;chr5:142152775:+	distal	TRUE
PPP2R5E	46.5842214083176	1.86135881748337e-09	1.22555783193247e-07	0.449275362318841	0.46875	-0.0194746376811594	chr14:63376003:-_vs_chr14:63374734:-	-0.698369565217391	chr14:63374241:-;chr14:63374734:-;chr14:63375842:-;chr14:63376003:-;chr14:63376081:-	proximal	TRUE
OS9	40.0131288540713	2.04766764216933e-09	1.2278586579384e-07	0.776595744680851	0.693181818181818	0.0834139264990328	chr12:57719138:+_vs_chr12:57721557:+	0.808027079303675	chr12:57719089:+;chr12:57719138:+;chr12:57721557:+	distal	TRUE
WNK1	40	2.06115362243857e-09	1.2278586579384e-07	0.230769230769231	1	-0.769230769230769	chr12:813680:+_vs_chr12:911294:+	-1.53846153846154	chr12:813680:+;chr12:859377:+;chr12:911294:+	proximal	TRUE
HDGFL3	41.9533834586466	4.10456258118172e-09	2.33400354048106e-07	0.327485380116959	0.916666666666667	-0.589181286549708	chr15:83151289:-_vs_chr15:83137800:-	-1.23245614035088	chr15:83137800:-;chr15:83151226:-;chr15:83151289:-;chr15:83157451:-	proximal	TRUE
NUDT4	47.1621262640493	5.26508303549426e-09	2.86374733800144e-07	0.548148148148148	0.517948717948718	0.0301994301994301	chr12:93399840:+_vs_chr12:93400124:+	0.727920227920228	chr12:93399558:+;chr12:93399840:+;chr12:93400124:+;chr12:93401019:+;chr12:93401166:+;chr12:93402302:+	distal	TRUE
ANKRD36C	44.0426918536009	6.28610586385861e-09	3.2766326815363e-07	0.413636363636364	0.571428571428571	-0.157792207792208	chr2:95958613:-_vs_chr2:95923518:-	-1.12987012987013	chr2:95859914:-;chr2:95887948:-;chr2:95923518:-;chr2:95927237:-;chr2:95958613:-	proximal	TRUE
PKIA	37.5815053763441	6.90684638082499e-09	3.45618592896482e-07	0.370967741935484	0.533333333333333	-0.162365591397849	chr8:78601920:+_vs_chr8:78602248:+	-1.51397849462366	chr8:78601920:+;chr8:78602248:+;chr8:78602376:+	proximal	TRUE
AASDH	33.1053422420574	8.72985350671957e-09	4.20040259111776e-07	0	1	-1	chr4:56378311:-_vs_chr4:56338290:-	-2	chr4:56338290:-;chr4:56378311:-	proximal	TRUE
ITM2B	43.1272348769902	9.73752676337105e-09	4.51172073369525e-07	0.460264900662252	0.497641509433962	-0.0373766087717106	chr13:48262047:+_vs_chr13:48262091:+	0.301262026739973	chr13:48256283:+;chr13:48261388:+;chr13:48261870:+;chr13:48262047:+;chr13:48262091:+	distal	TRUE
GPR137C	32.5	1.19192530585499e-08	5.32535199151642e-07	0.95	0.0833333333333333	0.866666666666667	chr14:52600721:+_vs_chr14:52636338:+	1.73333333333333	chr14:52600721:+;chr14:52636338:+	distal	TRUE
WTAP	36.2321071071071	1.35611933444479e-08	5.85001823238081e-07	0.71875	0.583333333333333	0.135416666666667	chr6:159749419:+_vs_chr6:159756319:+	1.10416666666667	chr6:159748805:+;chr6:159749419:+;chr6:159756319:+	distal	TRUE
ZFR	36.016206482593	1.51070662154601e-08	6.29964661184686e-07	0.178571428571429	0.794117647058824	-0.615546218487395	chr5:32397219:-_vs_chr5:32354615:-	-1.23109243697479	chr5:32354615:-;chr5:32395232:-;chr5:32397219:-	proximal	TRUE
PANTR1	31.7276831101381	1.77375772624789e-08	7.15797069527777e-07	1	0.894736842105263	0.105263157894737	chr2:104840598:-_vs_chr2:104807576:-	0.210526315789474	chr2:104807576:-;chr2:104840598:-	distal	TRUE
PACC1	31.4595537663283	2.03638171993591e-08	7.96097978637446e-07	0.224489795918367	1	-0.775510204081633	chr1:212365268:-_vs_chr1:212364478:-	-1.55102040816327	chr1:212364478:-;chr1:212365268:-	proximal	TRUE
ZNF737	31.0863784409626	2.46797249981566e-08	9.32059360289753e-07	0	1	-1	chr19:20544415:-_vs_chr19:20544252:-	-2	chr19:20544252:-;chr19:20544415:-	proximal	TRUE
RAB39B	31.0357638888889	2.53317492005209e-08	9.32059360289753e-07	0	1	-1	chrX:155260421:-_vs_chrX:155258708:-	-2	chrX:155258708:-;chrX:155260421:-	proximal	TRUE
TTC3	57.5439272839245	2.64143359338364e-08	9.44123835806551e-07	0.521757862990091	0.476117103235747	0.0456407597543432	chr21:37077393:+_vs_chr21:37129034:+	0.264117599807213	chr21:37077393:+;chr21:37095368:+;chr21:37129034:+;chr21:37150845:+;chr21:37153179:+;chr21:37160839:+;chr21:37165784:+;chr21:37172740:+;chr21:37182916:+;chr21:37187097:+;chr21:37197695:+;chr21:37203104:+	distal	TRUE
YWHAB	34.4007256235828	3.38826480074521e-08	1.15997272797802e-06	0.222222222222222	0.728571428571429	-0.506349206349206	chr20:44905027:+_vs_chr20:44908131:+	-1.23492063492063	chr20:44905027:+;chr20:44908131:+;chr20:44908520:+	proximal	TRUE
NARF	34.3757893226177	3.43077465509086e-08	1.15997272797802e-06	0.582089552238806	0.3125	0.269589552238806	chr17:82463185:+_vs_chr17:82488259:+	0.773320895522388	chr17:82463185:+;chr17:82488259:+;chr17:82490537:+	distal	TRUE
EPS8	34.3176452830189	3.53197817125217e-08	1.16276439269381e-06	0.132075471698113	0.54	-0.407924528301887	chr12:15660636:-_vs_chr12:15620158:-	-0.815849056603773	chr12:15620158:-;chr12:15650837:-;chr12:15660636:-	proximal	TRUE
