gene_id	chisq	pvalue	adj_pvalue	ExN3	ExNExM	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
SRSF2	58.9124937562438	1.64842206566895e-14	2.26987718442614e-11	0.691176470588235	1	0.308823529411765	chr17:76735548:-_vs_chr17:76734128:-	0.617647058823529	chr17:76734128:-;chr17:76735548:-	distal	TRUE
BRD3	52.0323695945884	5.45932071955549e-13	2.63604993030575e-10	0.736842105263158	0.0344827586206897	-0.702359346642468	chr9:134040211:-_vs_chr9:134034781:-	-1.40471869328494	chr9:134034781:-;chr9:134040211:-	proximal	TRUE
KIDINS220	56.371239163692	5.74302817060076e-13	2.63604993030575e-10	0.833333333333333	0.202702702702703	-0.630630630630631	chr2:8803035:-_vs_chr2:8730714:-	-1.26126126126126	chr2:8730714:-;chr2:8798265:-;chr2:8803035:-	proximal	TRUE
TTC3	73.8845792918956	7.84010451672099e-12	2.6989559798812e-09	0.488983050847458	0.440454545454545	-0.0485285053929122	chr21:37077393:+_vs_chr21:37129034:+	0.328120184899846	chr21:37077393:+;chr21:37095368:+;chr21:37129034:+;chr21:37150845:+;chr21:37153179:+;chr21:37160839:+;chr21:37165784:+;chr21:37182916:+;chr21:37187097:+;chr21:37197695:+;chr21:37203104:+	distal	TRUE
SMARCC2	48.3707404317125	3.13636914331907e-11	8.63756062070071e-09	0.796296296296296	0.478723404255319	-0.317572892040977	chr12:56181494:-_vs_chr12:56162365:-	-1.17336485421592	chr12:56162365:-;chr12:56181494:-;chr12:56181753:-	proximal	TRUE
TOP2B	51.3735558408216	4.07289841132036e-11	9.34730185398022e-09	0.666666666666667	0.491228070175439	-0.175438596491228	chr3:25630094:-_vs_chr3:25627274:-	-1.10526315789474	chr3:25597994:-;chr3:25627274:-;chr3:25630094:-;chr3:25632720:-	proximal	TRUE
BRWD1	49.5841810281805	9.79606078867169e-11	1.92702510085727e-08	0.452380952380952	0.652777777777778	0.200396825396825	chr21:39296437:-_vs_chr21:39250818:-	1.22470238095238	chr21:39236611:-;chr21:39250818:-;chr21:39296437:-;chr21:39296775:-	distal	TRUE
NARF	41.3503615399648	1.27247923960793e-10	2.19025489117515e-08	0.533333333333333	1	0.466666666666667	chr17:82463185:+_vs_chr17:82488259:+	0.933333333333333	chr17:82463185:+;chr17:82488259:+	distal	TRUE
ZFR	48.4331016748135	1.72226974200066e-10	2.63507270526101e-08	0.862745098039216	0.39344262295082	-0.469302475088396	chr5:32397219:-_vs_chr5:32354615:-	-1.04725168756027	chr5:32354615:-;chr5:32395232:-;chr5:32397219:-;chr5:32404030:-	proximal	TRUE
FNBP1L	63.7358473501063	2.5398305028247e-10	3.49734660238961e-08	0.529665587918015	0.453071083505866	-0.076594504412149	chr1:93552649:+_vs_chr1:93553107:+	0.290840016884762	chr1:93523310:+;chr1:93523489:+;chr1:93529692:+;chr1:93530804:+;chr1:93530882:+;chr1:93546874:+;chr1:93550970:+;chr1:93552649:+;chr1:93553107:+;chr1:93554661:+	distal	TRUE
YWHAB	47.3045844354157	2.99390242620442e-10	3.74782149171226e-08	0.647619047619048	0.596153846153846	-0.0514652014652015	chr20:44908131:+_vs_chr20:44908400:+	0.947252747252747	chr20:44905027:+;chr20:44908131:+;chr20:44908400:+;chr20:44908520:+	distal	TRUE
PSIP1	55.5004860103048	3.67282918999952e-10	4.03260557359238e-08	0.659420289855072	0.41087962962963	-0.248540660225443	chr9:15490049:-_vs_chr9:15466748:-	-0.444142512077295	chr9:15466748:-;chr9:15468650:-;chr9:15472631:-;chr9:15474079:-;chr9:15474208:-;chr9:15486882:-;chr9:15490049:-	proximal	TRUE
KIAA1841	43.3779623477298	3.8071076584387e-10	4.03260557359238e-08	0.833333333333333	0.151162790697674	-0.682170542635659	chr2:61088392:+_vs_chr2:61115771:+	-1.36434108527132	chr2:61088392:+;chr2:61109296:+;chr2:61115771:+	proximal	TRUE
EZR	49.4732638530281	4.65124230948228e-10	4.34996017016636e-08	0.354779411764706	0.220125786163522	-0.134653625601184	chr6:158783582:-_vs_chr6:158765748:-	-0.316407695153533	chr6:158765748:-;chr6:158766130:-;chr6:158766193:-;chr6:158770869:-;chr6:158783582:-	proximal	TRUE
MSMO1	49.434579752678	4.73851870388493e-10	4.34996017016636e-08	0.421428571428571	0.60036496350365	0.178936392075078	chr4:165341449:+_vs_chr4:165341915:+	0.662773722627737	chr4:165341449:+;chr4:165341915:+;chr4:165342063:+;chr4:165343070:+;chr4:165343164:+	distal	TRUE
SLC39A6	43.3121846095917	2.11263545436079e-09	1.77621245196369e-07	0.213675213675214	0.242647058823529	0.0289718451483157	chr18:36122053:-_vs_chr18:36116760:-	-0.427413273001508	chr18:36108531:-;chr18:36109164:-;chr18:36116760:-;chr18:36122053:-	proximal	TRUE
NBPF1	46.2423012380449	2.19285487896752e-09	1.77621245196369e-07	0.42	0.444444444444444	0.0244444444444445	chr1:16593670:-_vs_chr1:16590974:-	0.862222222222222	chr1:16564862:-;chr1:16590974:-;chr1:16593670:-;chr1:16594971:-;chr1:16605417:-	distal	TRUE
UFM1	39	3.39826781949507e-09	2.59967488191373e-07	0.5	0.478260869565217	-0.0217391304347826	chr13:38361153:+_vs_chr13:38361891:+	-1.52173913043478	chr13:38361153:+;chr13:38361891:+;chr13:38362405:+	proximal	TRUE
EPS8	37.9151523024669	5.8456025967219e-09	4.21656052861414e-07	0.54	0.130434782608696	-0.409565217391304	chr12:15660636:-_vs_chr12:15620158:-	-0.819130434782609	chr12:15620158:-;chr12:15650837:-;chr12:15660636:-	proximal	TRUE
NDFIP1	37.822012242048	6.12427092028197e-09	4.21656052861414e-07	0.397435897435897	0.558139534883721	0.160703637447823	chr5:142138870:+_vs_chr5:142152775:+	0.578413834227788	chr5:142138870:+;chr5:142152775:+;chr5:142153198:+	distal	TRUE
HNRNPF	33.4029408708172	7.49106036575422e-09	4.91199529697313e-07	0.365384615384615	0.0188679245283019	-0.346516690856313	chr10:43386022:-_vs_chr10:43385854:-	-0.693033381712627	chr10:43385854:-;chr10:43386022:-	proximal	TRUE
DSTN	43.1193053445154	9.77449258896463e-09	6.1179437704565e-07	0.394444444444444	0.636054421768708	0.241609977324263	chr20:17601010:+_vs_chr20:17608000:+	0.565986394557823	chr20:17601010:+;chr20:17604624:+;chr20:17607358:+;chr20:17608000:+;chr20:17608242:+	distal	TRUE
CCDC88A	42.9496182018112	1.05999769068928e-08	6.3461600873006e-07	0.644736842105263	0.390151515151515	-0.254585326953748	chr2:55334899:-_vs_chr2:55334152:-	-0.897129186602871	chr2:55334152:-;chr2:55334739:-;chr2:55334899:-;chr2:55339483:-;chr2:55344410:-	proximal	TRUE
NSD3	35.4432390970853	2.01186307432197e-08	1.15430643889223e-06	0.625	0.371794871794872	-0.253205128205128	chr8:38338548:-_vs_chr8:38326841:-	-1.33974358974359	chr8:38275640:-;chr8:38326841:-;chr8:38338548:-	proximal	TRUE
PLEKHA1	34.871418128655	2.67773604885784e-08	1.4748970157109e-06	0.302631578947368	0.763888888888889	0.46125730994152	chr10:122428537:+_vs_chr10:122430566:+	0.922514619883041	chr10:122428537:+;chr10:122430145:+;chr10:122430566:+	distal	TRUE
PANTR1	30.7399383917943	2.95029669718492e-08	1.49604252903117e-06	0.894736842105263	1	0.105263157894737	chr2:104840598:-_vs_chr2:104807576:-	0.210526315789474	chr2:104807576:-;chr2:104840598:-	distal	TRUE
SMIM14	34.6388888888889	3.00788236970842e-08	1.49604252903117e-06	0	0.5625	0.5625	chr4:39551521:-_vs_chr4:39550907:-	1.5625	chr4:39550279:-;chr4:39550907:-;chr4:39551521:-	distal	TRUE
MLLT3	43.4165467109803	3.04206178742722e-08	1.49604252903117e-06	0.373913043478261	0.359649122807018	-0.0142639206712433	chr9:20413862:-_vs_chr9:20354827:-	0.401601830663616	chr9:20346136:-;chr9:20346306:-;chr9:20354827:-;chr9:20413862:-;chr9:20414126:-;chr9:20456708:-	distal	TRUE
DPYSL2	30.3930153932947	3.52796167598392e-08	1.67517352683788e-06	0.4	1	0.6	chr8:26657129:+_vs_chr8:26658175:+	1.2	chr8:26657129:+;chr8:26658175:+	distal	TRUE
ZNF721	34	4.13993771878517e-08	1.90023141292239e-06	0	0.760869565217391	0.760869565217391	chr4:443323:-_vs_chr4:441535:-	1.52173913043478	chr4:441535:-;chr4:442567:-;chr4:443323:-	distal	TRUE
SRRM1	42.3829791147501	4.92745267594627e-08	2.18874268863807e-06	0.639024390243902	0.377586206896552	-0.261438183347351	chr1:24652514:+_vs_chr1:24671447:+	-0.511143818334735	chr1:24649024:+;chr1:24650025:+;chr1:24652514:+;chr1:24660745:+;chr1:24669594:+;chr1:24671447:+	proximal	TRUE
CANT1	33.3533198653199	5.72029748148748e-08	2.46151551000258e-06	0.56	0.5	-0.0600000000000001	chr17:78992670:-_vs_chr17:78991716:-	-1.19636363636364	chr17:78991716:-;chr17:78992670:-;chr17:78993065:-	proximal	TRUE
KHDRBS1	39.2931009360024	6.05981052959943e-08	2.52859366644194e-06	0.662698412698413	0.451086956521739	-0.211611456176674	chr1:32042972:+_vs_chr1:32060850:+	-0.478951000690131	chr1:32042631:+;chr1:32042972:+;chr1:32043301:+;chr1:32043877:+;chr1:32060850:+	proximal	TRUE
EIF5	38.4158192025839	9.19670469758795e-08	3.72466540252312e-06	0.204545454545455	0.123798076923077	-0.0807473776223776	chr14:103338372:+_vs_chr14:103341360:+	-0.355332167832168	chr14:103338372:+;chr14:103339214:+;chr14:103341360:+;chr14:103343171:+;chr14:103343221:+	proximal	TRUE
ZNF711	40.8919410116703	9.86640717037831e-08	3.77668502280669e-06	0.570731707317073	0.575757575757576	0.00502586844050268	chrX:85246838:+_vs_chrX:85264345:+	0.424057649667406	chrX:85245961:+;chrX:85246838:+;chrX:85255741:+;chrX:85264345:+;chrX:85270103:+;chrX:85270875:+	distal	TRUE
EZH2	28.3985965131798	9.87368633413514e-08	3.77668502280669e-06	0.918918918918919	0.333333333333333	-0.585585585585586	chr7:148828769:-_vs_chr7:148807374:-	-1.17117117117117	chr7:148807374:-;chr7:148828769:-	proximal	TRUE
H3-3B	35.0409230769231	1.19423650989886e-07	4.44449641656955e-06	0.489230769230769	0.560683760683761	0.0714529914529915	chr17:75778023:-_vs_chr17:75777459:-	0.345641025641026	chr17:75776434:-;chr17:75777459:-;chr17:75778023:-;chr17:75778250:-	distal	TRUE
CAPRIN1	37.7988097009374	1.23291418690025e-07	4.46769167200433e-06	0.65625	0.361702127659574	-0.294547872340426	chr11:34091967:+_vs_chr11:34101141:+	-0.701595744680851	chr11:34091967:+;chr11:34099056:+;chr11:34099516:+;chr11:34100493:+;chr11:34101141:+	proximal	TRUE
