gene_id	chisq	pvalue	adj_pvalue	ExMU	ExN2	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
RTN4	189.109579094156	2.31484058147705e-37	4.98848145308304e-34	0.2903981264637	0.601503759398496	-0.311105632934796	chr2:55026600:-_vs_chr2:54972189:-	-0.571230322740245	chr2:54972189:-;chr2:54972291:-;chr2:55025759:-;chr2:55025982:-;chr2:55026078:-;chr2:55026370:-;chr2:55026600:-;chr2:55027115:-	proximal	TRUE
CDC42	90.3066570219733	1.13334364903533e-18	1.22117778183557e-15	0.358349900596421	0.605654761904762	-0.24730486130834	chr1:22090807:+_vs_chr1:22092943:+	-0.540648963362681	chr1:22090127:+;chr1:22090807:+;chr1:22091599:+;chr1:22092414:+;chr1:22092943:+	proximal	TRUE
NAP1L1	66.981702705091	1.88960342943719e-14	1.35736513014571e-11	0.704545454545455	0.260869565217391	0.443675889328063	chr12:76056132:-_vs_chr12:76047596:-	0.824110671936759	chr12:76047596:-;chr12:76049430:-;chr12:76049566:-;chr12:76056132:-	distal	TRUE
MAP2	100.324283988882	1.93174863147585e-13	9.13599911682878e-11	0.465555555555556	0.532163742690058	-0.0666081871345028	chr2:209692830:+_vs_chr2:209733900:+	-0.129293233082707	chr2:209580099:+;chr2:209679812:+;chr2:209681172:+;chr2:209692830:+;chr2:209692958:+;chr2:209693272:+;chr2:209693437:+;chr2:209693544:+;chr2:209693923:+;chr2:209694036:+;chr2:209694505:+;chr2:209695108:+;chr2:209696647:+;chr2:209725730:+;chr2:209729898:+;chr2:209730502:+;chr2:209730895:+;chr2:209733900:+;chr2:209734112:+	proximal	FALSE
HMGCS1	65.1177981396713	2.43028665475714e-13	9.13599911682878e-11	0.686046511627907	0.577922077922078	0.108124433705829	chr5:43290574:-_vs_chr5:43290235:-	0.400974025974026	chr5:43289395:-;chr5:43290235:-;chr5:43290574:-;chr5:43290752:-;chr5:43294751:-	distal	TRUE
CLASP1	58	2.54366564737692e-13	9.13599911682878e-11	0.712765957446809	0	0.712765957446809	chr2:121624171:-_vs_chr2:121401570:-	1.57446808510638	chr2:121340643:-;chr2:121401570:-;chr2:121624171:-	distal	TRUE
UBE2N	50.4721575183501	1.20867435098425e-12	3.72099032338722e-10	0.727272727272727	0.0256410256410256	0.701631701631702	chr12:93409357:-_vs_chr12:93408365:-	1.4032634032634	chr12:93408365:-;chr12:93409357:-	distal	TRUE
RAE1	49.3541830395112	2.13678340498207e-12	5.75596029717046e-10	0.635135135135135	0.0579710144927536	0.577164120642381	chr20:57378463:+_vs_chr20:57379185:+	1.15432824128476	chr20:57378463:+;chr20:57379185:+	distal	TRUE
MAPT	57.3449987794127	1.047239132496e-11	2.50755592280986e-09	0.498949579831933	0.458695652173913	0.0402539276580197	chr17:45988629:+_vs_chr17:46024431:+	0.379831932773109	chr17:45988629:+;chr17:46018729:+;chr17:46024431:+;chr17:46026503:+;chr17:46028334:+	distal	TRUE
GORASP2	55.0544790537246	3.16469251671287e-11	6.81991237351624e-09	0.615625	0.701612903225806	-0.0859879032258064	chr2:170966916:+_vs_chr2:170967135:+	1.08467741935484	chr2:170966359:+;chr2:170966483:+;chr2:170966811:+;chr2:170966916:+;chr2:170967135:+	distal	TRUE
ANKRD36C	65.2430249893515	4.32047471737628e-11	8.46420274176898e-09	0.356194690265487	0.497916666666667	-0.14172197640118	chr2:95982321:-_vs_chr2:95927237:-	-0.413421828908555	chr2:95857435:-;chr2:95859914:-;chr2:95887948:-;chr2:95910396:-;chr2:95921630:-;chr2:95927237:-;chr2:95958613:-;chr2:95978153:-;chr2:95982321:-	proximal	TRUE
CAMK1	41.7763872180451	1.02331825056551e-10	1.8377090249739e-08	1	0.263157894736842	0.736842105263158	chr3:9758800:-_vs_chr3:9757347:-	1.47368421052632	chr3:9757347:-;chr3:9758800:-	distal	TRUE
SPOP	52.0954400779276	1.31749684375988e-10	2.18400438330965e-08	0.612637362637363	0.494736842105263	0.1179005205321	chr17:49610218:-_vs_chr17:49599986:-	0.524696356275304	chr17:49599284:-;chr17:49599482:-;chr17:49599986:-;chr17:49600192:-;chr17:49610218:-	distal	TRUE
TAOK1	51.7391313497095	1.56405141189674e-10	2.37347752614495e-08	0.546875	0.541139240506329	0.00573575949367089	chr17:29510957:+_vs_chr17:29517491:+	0.677808544303797	chr17:29498521:+;chr17:29508129:+;chr17:29510957:+;chr17:29517491:+;chr17:29547135:+	distal	TRUE
TPM3	54.5026236441216	1.6520725239988e-10	2.37347752614495e-08	0.522480620155039	0.494736842105263	0.0277437780497757	chr1:154156838:-_vs_chr1:154156364:-	0.474704202366381	chr1:154156364:-;chr1:154156838:-;chr1:154158612:-;chr1:154170678:-;chr1:154172030:-;chr1:154173157:-	distal	TRUE
HSPA5	50.6195262357932	2.68056583192997e-10	3.61038710488068e-08	0.529585798816568	0.714912280701754	-0.185326481885186	chr9:125236815:-_vs_chr9:125236247:-	-0.514896709228693	chr9:125236247:-;chr9:125236755:-;chr9:125236815:-;chr9:125236992:-;chr9:125240207:-	proximal	TRUE
SMARCA5	54.7928869501065	5.10401489880936e-10	6.47008947466716e-08	0.36965811965812	0.447674418604651	-0.0780162989465314	chr4:143543971:+_vs_chr4:143544781:+	0.425909361955874	chr4:143528017:+;chr4:143543538:+;chr4:143543971:+;chr4:143544781:+;chr4:143548058:+;chr4:143550064:+;chr4:143553414:+	distal	TRUE
PTPRN2	37.6519423558897	8.45624321403037e-10	1.0124002292353e-07	0.142857142857143	1	-0.857142857142857	chr7:158434709:-_vs_chr7:157539056:-	-1.71428571428571	chr7:157539056:-;chr7:158434709:-	proximal	TRUE
ANKRD13C	41.4170944910141	1.01482744329937e-09	1.15102796858428e-07	0.616279069767442	0.145161290322581	0.471117779444861	chr1:70274772:-_vs_chr1:70262677:-	1.11702925731433	chr1:70262619:-;chr1:70262677:-;chr1:70274772:-	distal	TRUE
ZMYND8	41.1019736842105	1.18800923542992e-09	1.28007995117574e-07	0.5625	0.5	0.0625	chr20:47229773:-_vs_chr20:47210687:-	1.46875	chr20:47210687:-;chr20:47229773:-;chr20:47310089:-	distal	TRUE
ACSL4	40.982032627866	1.26143444648638e-09	1.29447201532293e-07	0.2	0.866666666666667	-0.666666666666667	chrX:109663318:-_vs_chrX:109642470:-	-1.33333333333333	chrX:109642470:-;chrX:109643897:-;chrX:109663318:-	proximal	TRUE
GIGYF2	49.5377517400182	1.72291204136547e-09	1.68767065870117e-07	0.459615384615385	0.522448979591837	-0.0628335949764522	chr2:232844559:+_vs_chr2:232845768:+	0.720565149136578	chr2:232791139:+;chr2:232817024:+;chr2:232819928:+;chr2:232819982:+;chr2:232844559:+;chr2:232845768:+	distal	TRUE
CDK11B	52.0266801522731	1.84192214708725e-09	1.68851183250636e-07	0.505167958656331	0.444444444444444	0.0607235142118863	chr1:1638503:-_vs_chr1:1635587:-	-0.504909560723514	chr1:1635226:-;chr1:1635587:-;chr1:1638503:-;chr1:1641068:-;chr1:1649576:-;chr1:1649608:-;chr1:1652491:-	proximal	TRUE
SRSF4	46.5629061304102	1.88047721485627e-09	1.68851183250636e-07	0.728155339805825	0.440104166666667	0.288051173139159	chr1:29149156:-_vs_chr1:29147743:-	0.528216019417476	chr1:29147743:-;chr1:29147837:-;chr1:29149009:-;chr1:29149156:-;chr1:29177278:-	distal	TRUE
TLE5	39.8936528282054	2.17371877682134e-09	1.8347680249271e-07	0.354545454545455	0.847826086956522	-0.493280632411067	chr19:3053159:-_vs_chr19:3052910:-	-0.986561264822134	chr19:3052910:-;chr19:3053062:-;chr19:3053159:-	proximal	TRUE
IDS	43.201871657754	2.22971285600695e-09	1.8347680249271e-07	0.587962962962963	0.25	0.337962962962963	chrX:149487138:-_vs_chrX:149479371:-	1.18055555555556	chrX:149478769:-;chrX:149479371:-;chrX:149482477:-;chrX:149487138:-	distal	TRUE
GRIA1	39.7233306423711	2.36694599805308e-09	1.8347680249271e-07	0.67948717948718	0.173913043478261	0.505574136008919	chr5:153770857:+_vs_chr5:153811311:+	1.20624303232999	chr5:153770857:+;chr5:153811311:+;chr5:153813680:+	distal	TRUE
SRPK2	51.4693885971719	2.38392133169183e-09	1.8347680249271e-07	0.30462962962963	0.400793650793651	-0.0961640211640211	chr7:105142445:-_vs_chr7:105117299:-	-0.443650793650794	chr7:105116376:-;chr7:105117299:-;chr7:105117537:-;chr7:105133033:-;chr7:105142445:-;chr7:105143197:-;chr7:105143286:-	proximal	TRUE
HK1	39.3021603822026	2.92175845559762e-09	2.17116878338375e-07	0.734177215189873	0.333333333333333	0.40084388185654	chr10:69380336:+_vs_chr10:69401882:+	0.80168776371308	chr10:69380336:+;chr10:69386410:+;chr10:69401882:+	distal	TRUE
UBR5	42.526874184017	3.10136307138588e-09	2.2110020303492e-07	0.228395061728395	0.493333333333333	-0.264938271604938	chr8:102326601:-_vs_chr8:102305100:-	-1.00814814814815	chr8:102293955:-;chr8:102305100:-;chr8:102311326:-;chr8:102326601:-	proximal	TRUE
WTAP	39.1324172576832	3.1805597652355e-09	2.2110020303492e-07	0.611111111111111	0.71875	-0.107638888888889	chr6:159749419:+_vs_chr6:159756319:+	-0.993055555555556	chr6:159748805:+;chr6:159749419:+;chr6:159756319:+	proximal	TRUE
SMIM14	45.2570360168753	3.51557185247614e-09	2.3675179194019e-07	0.593023255813954	0.510869565217391	0.0821536905965622	chr4:39551076:-_vs_chr4:39550907:-	0.707280080889788	chr4:39550279:-;chr4:39550907:-;chr4:39551076:-;chr4:39551449:-;chr4:39551521:-	distal	TRUE
VCP	34.8141510825532	3.62727359717615e-09	2.36871957633776e-07	0.141935483870968	0.46875	-0.326814516129032	chr9:35056936:-_vs_chr9:35056563:-	-0.653629032258064	chr9:35056563:-;chr9:35056936:-	proximal	TRUE
SDCBP	38.6485321650777	4.05114579887119e-09	2.56771152840218e-07	0.923076923076923	0.95374449339207	-0.0306675703151473	chr8:58582764:+_vs_chr8:58582840:+	-0.172411289151377	chr8:58579688:+;chr8:58582764:+;chr8:58582840:+	proximal	FALSE
GTF2I	44.3630601084637	5.39294504350227e-09	3.3205133053564e-07	0.327272727272727	0.470430107526882	-0.143157380254154	chr7:74735492:+_vs_chr7:74753128:+	-0.518279569892473	chr7:74698999:+;chr7:74735492:+;chr7:74749451:+;chr7:74753128:+;chr7:74760692:+	proximal	TRUE
RPL13A	37.288128256827	7.99808156488596e-09	4.78774049231368e-07	0.519792342634653	0.570695553021665	-0.050903210387012	chr19:49491841:+_vs_chr19:49492308:+	-0.128021091311081	chr19:49491768:+;chr19:49491841:+;chr19:49492308:+	proximal	FALSE
TTC3	58.0713829054631	8.38126748993195e-09	4.88152201102793e-07	0.428125	0.4739336492891	-0.0458086492890996	chr21:37160839:+_vs_chr21:37187097:+	-0.185624012638231	chr21:37095368:+;chr21:37129034:+;chr21:37150845:+;chr21:37153179:+;chr21:37160839:+;chr21:37165784:+;chr21:37172740:+;chr21:37182916:+;chr21:37187097:+;chr21:37197695:+;chr21:37203104:+	proximal	FALSE
