gene_id	N1_C.HQ.bam	N1_H.HQ.bam	N1_T.HQ.bam	N28_C.HQ.bam	N28_H.HQ.bam	N28_T.HQ.bam	R2_C.HQ.bam	R2_H.HQ.bam	R2_T.HQ.bam	R8_C.HQ.bam	R8_H.HQ.bam	R8_T.HQ.bam
AAGAB:chr15:67200667:67202820:u1	0.464285714285714	0.217391304347826	0.287128712871287	0.115384615384615	0.25503355704698	0.145161290322581	0.148148148148148	0.317460317460317	0.292397660818713	0.4	0.319444444444444	0.252525252525253
AAK1:chr2:69457997:69475868:u1	0.544102688302252	0.337812082091674	0.0582944821183499	0.5590802392086	0.227897796076532	0.270270116856382	0.41722269314604	0.112445740261192	0.130704232932375	0.338125718999758	0.337451814402196	0.106793755631884
AARS2:chr6:44298731:44300546:u1	0.7	0.785714285714286	0.88	1	0.928571428571429	1	0.9	0.714285714285714	0.791666666666667	0.916666666666667	0.875	0.869565217391304
AASS:chr7:122073550:122076488:u1	0.699527418256131	0.387199653207828	0.527020890099909	0.422598773841962	0.240177111716621	0.320217266599742	0.379427792915531	0.17566416893733	0.446185286103542	0.571639418710263	0.512239367373534	0.06641689373297
ABCA10:chr17:69148007:69148826:u1	0.8	0.692307692307692	1	1	1	0.833333333333333	0.727272727272727	0.923076923076923	0.9375	0.555555555555556	0.866666666666667	1
ABCA1:chr9:104781006:104784314:u1	1	0.868852459016393	1	0.666666666666667	0.777777777777778	1	1	0	1	1	1	0.8
ABCA5:chr17:69244311:69247536:u1	0.242507836990596	0.253227931488801	0.353269537480064	0.336725748046503	0.28946344175702	0.362433862433862	0.425340654870856	0.267975757575758	0.375757575757576	0.341879468845761	0.214231601731602	0.393731838937318
ABCA6:chr17:69078702:69078972:u1	0.25	0.871794871794872	1	0.25	0.84375	0.666666666666667	1	0.555555555555556	0.666666666666667	1	0.727272727272727	NA
ABCA9:chr17:68974488:68975914:u1	0.185185185185185	0.537037037037037	0.458333333333333	0.555555555555556	0.5	0.541666666666667	0.538461538461538	0.470588235294118	0.483870967741935	0.333333333333333	0.377777777777778	0.434782608695652
ABCB10:chr1:229516582:229518178:u1	0.895833333333333	0.827586206896552	0.882352941176471	0.857142857142857	0.96	0.764705882352941	0.928571428571429	0.888888888888889	0.828571428571429	0.789473684210526	0.904761904761905	0.80952380952381
ABCB1:chr7:87503017:87504242:u1	0.96551724137931	0.825136612021858	0.956521739130435	1	0.868421052631579	0.919117647058823	0.758620689655172	0.88695652173913	0.865384615384615	0.857142857142857	0.82943143812709	0.892307692307692
ABCB7:chrX:75051049:75053369:u1	0.0625	0.388641146134304	0.488932882048662	0.351432206595372	0.354135002235136	0.227417672478021	0.444080200003311	0.335456712859484	0.534356529081607	0.39301824684033	0.443328337146213	0.389338399642378
ABCC12:chr16:48082973:48083714:u1	NA	0	0.117647058823529	NA	0.2	0.130434782608696	NA	0	0.188405797101449	NA	NA	0.266666666666667
ABCC9:chr12:21797390:21801043:u1	0.236050385175932	0.468840308140745	0.275140537164272	0.783416614615865	0.474699720720527	0.376320921872809	NA	0.226420986883198	0.390482510930668	0.56683322923173	0.601306875510498	0.473329169269207
