gene_id	lr	df	pvalue	adj_pvalue	N1_H.HQ.bam	N1_T.HQ.bam	N28_H.HQ.bam	N28_T.HQ.bam	R2_H.HQ.bam	R2_T.HQ.bam	R8_H.HQ.bam	R8_T.HQ.bam	WARM1	WARM2	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
RBM26:chr13:79318868:79320620:u1	59.5457713994684	2	1.17435670103459e-13	5.09553372578907e-10	0.832999331997328	0.204948358254971	0.744426352705411	0.381394367682734	0.953573814295257	0.351351351351351	0.842462703184146	0.33802899917482	0.843365550545536	0.318930769115969	0.524434781429566	chr13_79320476_79320477_-_3UTR_vs_chr13_79319977_79319986_-_3UTR	1.03267566632053	chr13_79319977_79319986_-_3UTR;chr13_79320394_79320411_-_3UTR;chr13_79320476_79320477_-_3UTR	distal	TRUE
ARPP19:chr15:52547045:52551933:u1	41.7883992399948	4	1.84541257090726e-08	3.32362669745428e-05	0.867599997633892	0.609028496979659	0.846142806794577	0.616704718956658	0.761095970410746	0.550522445758867	0.858057353513724	0.633337699411866	0.833224032088235	0.602398340276763	0.230825691811472	chr15_52549486_52549549_-_3UTR_vs_chr15_52547221_52547250_-_3UTR	0.478529277158447	chr15_52547041_52547053_-_3UTR;chr15_52547221_52547250_-_3UTR;chr15_52549104_52549187_-_3UTR;chr15_52549486_52549549_-_3UTR;chr15_52550777_52550798_-_3UTR	distal	TRUE
GAS7:chr17:9910606:9917227:u1	41.3286451671115	4	2.29796729485201e-08	3.32362669745428e-05	0.50704900208245	0.49824158880514	0.691435093263429	0.66144559317071	0.598699164549646	0.604712760601672	0.575504111785828	0.665478956478348	0.593171842920338	0.607469724763968	-0.0142978818436292	chr17_9915533_9915556_-_3UTR_vs_chr17_9914033_9914063_-_3UTR	-0.489173936297744	chr17_9910600_9910616_-_3UTR;chr17_9910649_9910680_-_3UTR;chr17_9910953_9910981_-_3UTR;chr17_9914033_9914063_-_3UTR;chr17_9915533_9915556_-_3UTR	proximal	TRUE
CFAP44:chr3:113286930:113291556:u2	33.4930522306308	2	5.33428379169578e-08	5.786364343042e-05	0.53472739692002	0.5	0.331562769628991	0.626460989678203	0.220009392076503	0.934880528920507	0.376373882265276	0.964601723413199	0.365668360222697	0.756485810502977	-0.39081745028028	chr3_113290114_113290129_-_3UTR_vs_chr3_113286924_113286947_-_3UTR	-0.907236915522821	chr3_113286924_113286947_-_3UTR;chr3_113290114_113290129_-_3UTR;chr3_113290828_113290862_-_3UTR	proximal	TRUE
PUM2:chr2:20248691:20251584:u1	38.8491875966502	4	7.4844437416764e-08	6.49500027902678e-05	0.809697061979968	0.720412092445758	0.831458042663279	0.748118964870423	0.807030864431874	0.806016902316829	0.839002080333393	0.721621810452926	0.821797012352129	0.749042442521484	0.0727545698306447	chr2_20251275_20251300_-_3UTR_vs_chr2_20249849_20249872_-_3UTR	0.174385555091696	chr2_20248678_20248771_-_3UTR;chr2_20249687_20249706_-_3UTR;chr2_20249741_20249800_-_3UTR;chr2_20249849_20249872_-_3UTR;chr2_20251275_20251300_-_3UTR	distal	FALSE
PTGS2:chr1:186671791:186674352:u1	31.6543186017734	2	1.33767943803986e-07	9.67365180275828e-05	0.502199593577633	0.985408787411869	0.581348833519152	0.910243062785436	1	0.933949666153056	0.753723677452491	0.884991728538013	0.709318026137319	0.928648311222093	-0.219330285084774	chr1_186673721_186673734_-_3UTR_vs_chr1_186671774_186671851_-_3UTR	-0.622810860482759	chr1_186671774_186671851_-_3UTR;chr1_186672399_186672409_-_3UTR;chr1_186673721_186673734_-_3UTR	proximal	TRUE
ZNF569:chr19:37411158:37412596:u1	24.8687132654641	1	6.13703917568497e-07	0.000365575060825113	0.811594202898551	0.625	0.869565217391304	0.589285714285714	0.757575757575758	0.558823529411765	0.858064516129032	0.544776119402985	0.824199923498661	0.579471340775116	0.244728582723545	chr19_37411655_37411689_-_3UTR_vs_chr19_37411138_37411170_-_3UTR	0.561437130205038	chr19_37411138_37411170_-_3UTR;chr19_37411655_37411689_-_3UTR	distal	TRUE
ZFP30:chr19:37631006:37634980:u1	28.4199931584056	2	6.74026385480734e-07	0.000365575060825113	0.797244094488189	0.504101049868766	0.809723003374578	0.448818897637795	0.797818241469816	0.484734444959086	0.846817585301837	0.556042101880122	0.812900731158605	0.498424123586442	0.314476607572163	chr19_37634193_37634203_-_3UTR_vs_chr19_37632483_37632498_-_3UTR	0.662744404140494	chr19_37632161_37632169_-_3UTR;chr19_37632483_37632498_-_3UTR;chr19_37634193_37634203_-_3UTR	distal	TRUE
RAE1:chr20:57378100:57379202:u1	23.5064984359733	1	1.24492566047312e-06	0.000554477782961538	0.547945205479452	0.798657718120805	0.461538461538462	0.693333333333333	0.532467532467532	0.742647058823529	0.532608695652174	0.814814814814815	0.518639973784405	0.762363231273121	-0.243723257488716	chr20_57378449_57378464_+_3UTR_vs_chr20_57379184_57379211_+_3UTR	-0.526842930423003	chr20_57378449_57378464_+_3UTR;chr20_57379184_57379211_+_3UTR	proximal	TRUE
PREX1:chr20:48624253:48625884:u1	23.387045910813	1	1.3246759722631e-06	0.000554477782961538	0.683453237410072	0.457482993197279	0.736156351791531	0.532608695652174	0.726072607260726	0.503311258278146	0.675603217158177	0.5	0.705321353405126	0.4983507367819	0.206970616623227	chr20_48624995_48625051_-_3UTR_vs_chr20_48624247_48624264_-_3UTR	0.42950307337623	chr20_48624247_48624264_-_3UTR;chr20_48624995_48625051_-_3UTR	distal	TRUE
