gene_id	lr	df	pvalue	adj_pvalue	N1_C.HQ.bam	N1_H.HQ.bam	N28_C.HQ.bam	N28_H.HQ.bam	R2_C.HQ.bam	R2_H.HQ.bam	R8_C.HQ.bam	R8_H.HQ.bam	gDPAU1	gDPAU2	dgDPAU	Note	feature_id	sig
NDUFA10:chr2:239957372:239961122:u2	65.1569707930485	2	7.1013932584924e-15	2.72054375732844e-11	0.434146341463415	0.320652173913043	0.504739336492891	0.176056338028169	0.598101265822785	0.118473895582329	0.589041095890411	0.185661764705882	0.531507009917375	0.200211043057356	0.331295966860019	lengthen	chr2_239957323_239957381_-_3UTR;chr2_239959565_239959589_-_3UTR;chr2_239960721_239960754_-_3UTR	Yes
ERP44:chr9:99979188:99982611:u1	62.249103176106	4	9.76373689409432e-13	1.87024380206377e-09	0.5375	0.43287037037037	0.533898305084746	0.38301282051282	0.580882352941177	0.325	0.543367346938776	0.453271028037383	0.548912001241174	0.398538554730144	0.150373446511031	lengthen	chr9_99981306_99981321_-_3UTR;chr9_99981970_99981977_-_3UTR;chr9_99982123_99982146_-_3UTR;chr9_99982368_99982394_-_3UTR;chr9_99982464_99982494_-_3UTR	Yes
FAM49B:chr8:129839593:129842141:u1	50.0884296841677	1	1.46971048811264e-12	1.87682029331984e-09	0.690140845070423	0.380952380952381	0.815789473684211	0.201388888888889	0.842794759825327	0.2	0.821316614420063	0.494047619047619	0.792510423250006	0.319097222222222	0.473413201027784	lengthen	chr8_129839582_129839606_-_3UTR;chr8_129841464_129841495_-_3UTR	Yes
PRPF4B:chr6:4060617:4064983:u1	43.4532207552638	1	4.34216380617267e-11	4.15870738536187e-08	0.703225806451613	0.53822629969419	0.83695652173913	0.51063829787234	0.854794520547945	0.510948905109489	0.887378640776699	0.555776892430279	0.820588872378847	0.528897598776574	0.291691273602272	lengthen	chr6_4061893_4061926_+_3UTR;chr6_4064971_4064988_+_3UTR	Yes
AK2:chr1:33007940:33013402:u2	45.9720084254059	2	1.04065124806832e-10	7.97346986269943e-08	0.202970297029703	0.307560137457045	0.0947368421052631	0.319209039548023	0.128755364806867	0.27	0.153392330383481	0.352011494252874	0.144963708581328	0.312195167814485	-0.167231459233157	shorten	chr1_33007974_33007996_-_3UTR;chr1_33008874_33008888_-_3UTR;chr1_33009914_33009936_-_3UTR	Yes
SNX13:chr7:17790761:17794044:u3	48.5943285757539	3	1.59141991821569e-10	1.01612161778072e-07	0.687074829931973	0.567251461988304	0.767025089605735	0.561302681992337	0.780797101449275	0.42483660130719	0.739393939393939	0.568498168498168	0.743572740095231	0.5304722284465	0.213100511648731	lengthen	chr7_17790737_17790865_-_3UTR;chr7_17791373_17791375_-_3UTR;chr7_17792823_17792852_-_3UTR;chr7_17793404_17793437_-_3UTR	Yes
TARDBP:chr1:11022655:11025492:u1	42.2902576816487	2	6.55823878567626e-10	3.43053510227867e-07	0.737414965986395	0.580373269114991	0.72739916550765	0.478982300884956	0.837026777469991	0.475925925925926	0.681069958847737	0.501993166287016	0.745727716952943	0.509318665553222	0.236409051399721	lengthen	chr1_11024029_11024070_+_3UTR;chr1_11024149_11024196_+_3UTR;chr1_11025473_11025494_+_3UTR	Yes
CNTNAP4:chr16:76558684:76560755:u1	37.9755331688198	1	7.16373814101523e-10	3.43053510227867e-07	0.545454545454545	0.141025641025641	0.488888888888889	0.21969696969697	0.712328767123288	0.177215189873418	0.45679012345679	0.174757281553398	0.550865581230878	0.178173770537357	0.372691810693521	lengthen	chr16_76559036_76559069_+_3UTR;chr16_76560750_76560774_+_3UTR	Yes
ECPAS:chr9:111360685:111362029:u1	35.6843256174434	1	2.32023360203094e-09	9.87646103264502e-07	0.597883597883598	0.241935483870968	0.614130434782609	0.217665615141956	0.487261146496815	0.244318181818182	0.397233201581028	0.188423645320197	0.524127095186012	0.223085731537826	0.301041363648187	lengthen	chr9_111360682_111360710_-_3UTR;chr9_111361871_111361897_-_3UTR	Yes
HNRNPDL:chr4:82422564:82424883:u2	35.271639343373	1	2.86777890114314e-09	1.09864609702794e-06	0.335548172757475	0.152154793315743	0.251937984496124	0.140522875816993	0.362616822429907	0.106972301814709	0.315415821501014	0.100729927007299	0.31637970029613	0.125094974488686	0.191284725807444	lengthen	chr4_82423192_82423214_-_3UTR;chr4_82424607_82424640_-_3UTR	Yes
