gene_id	bc01	bc02	bc05	bc06	iNGN_D12_rep1	iNGN_D12_rep2	iNGN_D12_rep3
AACS:chr12:125142214:125143316:u1	0.972228807635026	0.988621602512455	0.993632272965686	0.984216625030371	0.999458903024864	0.993360449446499	0.983336310300765
AADAT:chr4:170060222:170060927:u1	0.929103595080416	0.964106971336131	0.943011502265598	0.926033848417954	0.944169670550759	0.915445097601508	0.925790240007515
AAGAB:chr15:67200667:67202820:u1	0.478650852483321	0.46602910242231	0.503363914373089	0.510275689223058	0.512442084439586	0.502067760910329	0.493527633516782
AAK1:chr2:69457997:69475868:u1	0.059870093194013	0.0299350465970065	0.20735929377556	0.232928551256707	0.0632683799303398	0.104061778768904	0.0647247885316228
AAR2:chr20:36255746:36256941:u1	0.992438563327032	0.990384615384615	0.997727272727273	0.998116760828625	1	0.998587570621469	1
AARS2:chr6:44298731:44300546:u1	0.103977357366304	0.111539798401112	0.168139626318399	0.152719847062913	0.163352630254216	0.0943871130128367	0.22573917723435
AASDH:chr4:56338285:56338705:u2	0.972222222222222	1	1	0.962264150943396	0.928571428571429	0.926829268292683	0.973684210526316
AASDHPPT:chr11:106096908:106098695:u1	0.572163644852541	0.563286880909872	0.888984652528606	0.917564275986875	0.974422636668156	0.970817366510621	0.940583832880856
AASS:chr7:122073550:122076488:u1	0.151302817884771	0.111676193107198	0.142954490143587	0.0721916023649664	0.153873315781323	0.112752921485998	0.0716440757474755
ABCA1:chr9:104781006:104784314:u1	NA	0.6	0.5	0.454545454545455	0.571428571428571	1	0
ABCA5:chr17:69244311:69247536:u1	0.198290598290598	0.120872896884891	0.1656896791221	0.178854788292128	0.226121463077985	0.229390259825042	0.224457926075722
ABCB10:chr1:229516582:229518178:u1	0.903225806451613	0.870967741935484	0.795918367346939	0.915254237288136	0.755555555555556	0.910714285714286	0.91304347826087
ABCB7:chrX:75051049:75053369:u1	0.106488932428335	0.0834981923691601	0.0584442737668544	0.0682050160396617	0.229450096992587	0.18475943138327	0.124509704470143
ABCC1:chr16:16141282:16143053:u1	0.885057471264368	0.818181818181818	1	0.926829268292683	0.894736842105263	1	0.833333333333333
ABCC4:chr13:95019829:95021574:u2	0.943396226415094	0.911111111111111	0.9	1	0.904761904761905	1	1
ABCC5:chr3:183919936:183921299:u3	0.978609625668449	0.971698113207547	0.992307692307692	0.981012658227848	1	0.975	1
ABCC9:chr12:21797390:21801043:u1	NA	0	0.181818181818182	0.346153846153846	NA	NA	NA
ABCD3:chr1:94517130:94518663:u2	0.660714285714286	0.675438596491228	0.696969696969697	0.606741573033708	0.655737704918033	0.621212121212121	0.657142857142857
ABCD4:chr14:74285269:74286789:u1	0.00160513643659711	0.00171821305841924	0.00707547169811321	0.00829875518672199	0.00824175824175824	0.00746268656716418	0.0103896103896104
ABCE1:chr4:145127574:145129524:u1	0.598462462933208	0.577482335904926	0.512240226202357	0.532878033827401	0.611041090415264	0.591182039842291	0.535524193279607
ABCF1:chr6:30590702:30591522:u1	0.174936921783011	0.179801071155318	0.152291105121294	0.13961038961039	0.126126126126126	0.123595505617978	0.136044880785414
ABCF2:chr7:151211484:151214053:u1	0.114160749326459	0.102317631978312	0.10234531732637	0.109626900763264	0.168116670166562	0.154158487194982	0.122988392918328
ABCG2:chr4:88090264:88092355:u1	0.222854042322301	0.25698969072165	NA	NA	0.207560137457045	0.333333333333333	0.461538461538462
ABHD10:chr3:111991377:111993368:u2	0.0614536978173342	0.114840114840115	0.0714990138067061	0.0485658409387223	0.135042735042735	0.0953456445684425	0.106808535379964
ABHD11:chr7:73736095:73737513:u1	0.947155258656856	0.91661666207165	0.918498916938623	0.920904221554216	0.972126230683967	0.961165048543689	0.937316583059864
ABHD13:chr13:108230233:108234243:u1	0.193197044430635	0.180793728564429	0.219665605095541	0.229115463168097	0.267550360346462	0.259986780435044	0.247300231615518
ABHD17B:chr9:71865152:71866786:u1	0.593363549885289	0.637788117011605	0.714816145646185	0.673500037545994	0.7453927357309	0.767984785887599	0.711604629340006
ABHD17C:chr15:80754371:80755621:u1	0.911246651085903	0.810449617913631	0.887462235649547	0.809869083585096	0.979715148899439	0.857436014364704	0.911842900302115
ABHD2:chr15:89195424:89202355:u1	0.0927409666872108	0.0573191536854861	0.111130982579211	0.140771194876012	0.158029437265614	0.382308391396547	0.124219212071378
ABHD5:chr3:43718507:43722725:u1	0.225942567174795	0.203673087834887	0.218622045974788	0.205818852027383	0.444683804873378	0.412275350757825	0.350188732681066
ABHD6:chr3:58293766:58294736:u1	0.954370721432333	0.971512185015409	0.966639404996575	0.969339851475911	0.974538363163956	0.976635203844571	0.971890082177486
ABI1:chr10:26746596:26748569:u1	0.318629744132124	0.304130916763511	0.362402762204554	0.412759559401721	0.406791090818365	0.41138068496541	0.392740155035237
ABI2:chr2:203427291:203432169:u1	0.0495488666778187	0.0567715251781186	0.0977589189084725	0.09923663448782	0.188529902252163	0.174120932156646	0.125662632074106
ABITRAM:chr9:108939687:108940954:u1	0.971428571428571	0.977678571428571	0.918918918918919	0.942307692307692	0.978260869565217	0.971428571428571	0.878787878787879
ABL2:chr1:179099331:179107717:u2	0.4	0	0.428571428571429	0.666666666666667	0.333333333333333	0	0
ABLIM1:chr10:114431110:114436259:u1	0.9	0.545454545454545	1	0.888888888888889	0.95	1	0.75
ABLIM2:chr4:7965327:7966989:u2	0	1	0.674418604651163	0.655172413793103	0.806818181818182	0.731707317073171	0.773333333333333
ABLIM3:chr5:149258405:149260438:u1	1	1	0.705882352941177	0.8	0.958477508650519	0.954337899543379	0.975609756097561
ABRACL:chr6:139042904:139043302:u1	0.976547231270358	0.981703470031546	0.997711670480549	0.991189427312775	0.986577181208054	0.993333333333333	0.993670886075949
ABRAXAS1:chr4:83459517:83462468:u1	0.279440154440154	0.320081910555056	0.363107689733077	0.330059050647286	0.415048040367733	0.346462639109698	0.387457116559284
ABRAXAS2:chr10:124834972:124836667:u1	0.653889583417349	0.588991589971438	0.815641293013556	0.833646575462214	0.875865583252995	0.905256488240065	0.866921506901443
ABT1:chr6:26598646:26600739:u1	0.0173850279017143	0.0265589468508197	0.0437935634170628	0.0593838747882786	0.0994675658955579	0.107559029678191	0.0918191801255545
ACAA2:chr18:49782164:49783846:u1	0.0479292460051971	0.0529249731077399	0.0534199783926457	0.0517509034129508	0.0756458713574676	0.0580203329667998	0.0619351205539642
ACACA:chr17:37084992:37087315:u1	0.958636174610367	0.971970899132349	0.957447668854713	0.967720726974102	0.975795464375306	0.972511405209686	0.977185658615561
ACAD8:chr11:134264961:134265852:u1	0.966134426775852	0.966062720744369	0.966698312649258	0.968564624188708	0.97013249415674	0.970829997515391	0.974707019451492
ACAD9:chr3:128912608:128913114:u1	0.715994020926756	0.681875792141952	0.727861771058315	0.754424778761062	0.738095238095238	0.772455089820359	0.764864864864865
ACADM:chr1:75762764:75763678:u1	0.726083623048553	0.721979298185428	0.74022538922278	0.745775053695846	0.74902000404122	0.749000484115819	0.74446106785847
ACADSB:chr10:123053766:123058315:u1	0.264978404825347	0.209843118430556	0.642840960579973	0.385693248753965	0.402024214707959	0.305816719528772	0.336184866334391
ACAP2:chr3:195274745:195279327:u1	0.463414634146341	0.409090909090909	0.75	0.538461538461538	1	0.6	0.5
ACAP3:chr1:1292391:1293563:u1	0.25	0.212765957446809	0.251086012163336	0.253580454928391	0.455813953488372	0.422163588390501	0.431072210065646
ACAT2:chr6:159778830:159779112:u1	0.664067041271072	0.661441254099016	0.719466899715971	0.742640075973409	0.79802037010472	0.801966092035903	0.774338854984016
ACBD3:chr1:226144679:226146609:u1	0.765975273177875	0.828549470975121	0.89559734674539	0.87875794009623	0.918067759378168	0.885820499203399	0.908440038551563
ACBD4:chr17:45142611:45144176:u1	0.875	0.9	0.885714285714286	0.869565217391304	1	0.9	0.857142857142857
ACBD5:chr10:27195214:27197429:u1	0.646378243002522	0.575656485278815	0.800294831772459	0.784593254575504	0.908922427216175	0.913301692850435	0.597530980985716
ACBD7:chr10:15075475:15078529:u1	0.945205479452055	0.955223880597015	0.941176470588235	1	0.964285714285714	0.956521739130435	0.971428571428571
ACCS:chr11:44083793:44084236:u1	0.4	0.583333333333333	0.463917525773196	0.479591836734694	0.555555555555556	0.5	0.5
ACE:chr17:63497367:63498373:u1	0.625	0.384615384615385	0.333333333333333	0.304347826086957	0.5	0	1
ACER3:chr11:77020328:77026797:u1	0.0691942673960717	0.0984693604085789	0.199167872648336	0.220075101917274	0.245019742366583	0.387388111700702	0.159116962067338
ACHE:chr7:100889994:100890957:u1	0.671875	0.696969696969697	0.976897689768977	0.982905982905983	0.994038748137109	0.990437158469945	0.996746203904555
ACLY:chr17:41866917:41867809:u1	0.947745449207281	0.953788178014945	0.976236467938019	0.975040027577073	0.984942186798383	0.979156487114194	0.981548826940191
ACO1:chr9:32450112:32454768:u1	0.225513107918181	0.227216583537316	0.218198175041768	0.22449373014853	0.216955354547475	0.222693353569848	0.223155570489128
ACOT11:chr1:54609113:54610329:u1	0.304347826086957	0.263157894736842	NA	NA	1	NA	0
ACOT13:chr6:24701616:24705067:u1	0.127309398335605	0.113926304466741	0.0817914609790104	0.116196254286468	0.273221788715486	0.342249943455643	0.24972716359271
ACOT9:chrX:23701056:23703893:u1	0.0253164556962025	0.0294117647058824	0.0472103004291846	0.0358565737051793	0.0787878787878788	0.110552763819095	0.0833333333333333
ACOX1:chr17:75941511:75946747:u1	0.512930011862396	0.236951364175563	0.537874936451449	0.601355050643307	0.709827539009034	0.700682889294989	0.630297638304756
ACOX3:chr4:8366282:8367080:u2	0.302275960170697	0.416300038020748	0.345292203426297	0.393763199034585	0.42873737825038	0.306064713856309	0.36942835557794
ACOXL:chr2:111117817:111118548:u3	0.807692307692308	0.784313725490196	1	1	0.8125	1	0.9
ACP1:chr2:277305:278282:u2	0.92033089816123	0.928433308973118	0.955987667559713	0.973481858152243	0.99401610559792	0.993207034711253	0.989164076064206
ACSL3:chr2:222941655:222944638:u1	0.728221025069973	0.703135824871515	0.760467673487621	0.724240767071348	0.804231372462392	0.824191269124617	0.754188142331714
ACSL4:chrX:109641335:109644028:u1	0.865376778619214	0.840094868234647	0.825301161819605	0.906190751404346	0.946691923021724	0.933900742466081	0.794253788309431
ACSL6:chr5:131949974:131954233:u1	0	0.0769230769230769	0.0714285714285714	0.0384615384615385	0.272727272727273	0.275862068965517	0.117647058823529
ACSS3:chr12:81254923:81261210:u1	0.307356128632724	0.417777372906928	0.51811385853939	0.0362277170787809	0.351447191872724	0.31811385853939	0.207245543415756
ACTG1:chr17:81509971:81510689:u1	0.999932673533966	0.999978595432265	0.999983585029547	0.999955570036433	1	0.999955961686667	0.999963242051094
ACTL6A:chr3:179588011:179588407:u1	0.974264748840307	0.977090391398126	0.980693589450005	0.982320570005213	0.984803969978274	0.984163200391485	0.978449069810278
ACTN1:chr14:68874123:68874858:u1	0.261641735442458	0.287750570159645	0.469236111111111	0.417840375586854	0.360865203021719	0.349396658415842	0.428859585741811
ACTN4:chr19:38729433:38731589:u1	0.725631973418415	0.753402933791463	0.785313368265985	0.755047404335836	0.896118933895747	0.798740772904907	0.905402890639538
ACTR10:chr14:58234552:58235635:u1	0.221383413048648	0.2250265249255	0.222415339374343	0.223471323997978	0.239836314073997	0.23988382244022	0.242486464832513
ACTR1A:chr10:102479229:102480862:u1	0.717003567181926	0.722154222766218	0.659135949266746	0.684359518754423	0.694824016563147	0.721882172915073	0.704615384615385
ACTR2:chr2:65268735:65271256:u1	0.561606704870842	0.401904866816085	0.663366168957634	0.722752249366769	0.841160251537558	0.850792053092569	0.593400253421641
ACTR3:chr2:113957456:113962596:u1	0.303521407034049	0.301144316292453	0.299011778687909	0.306207421108666	0.320430873384444	0.312655414687071	0.302874722368734
ACTR3B:chr7:152854554:152855379:u1	0.631831546177793	0.658439051296194	0.742631137335571	0.778171897826376	0.846507259620266	0.881235108256501	0.812154098927707
ACTR5:chr20:38771817:38772519:u1	0.0909090909090909	0.0922509225092251	0.0869565217391304	0.0606060606060606	0.129213483146067	0.14375	0.357142857142857
ACTR6:chr12:100223916:100224424:u1	0.949856733524355	0.948253557567917	0.986772486772487	0.984832069339112	0.99302649930265	0.993403693931398	0.996319018404908
ACTR8:chr3:53867066:53868718:u1	0.105778448013841	0.106424770198355	0.200117226750028	0.202987421383648	0.342949943999311	0.332664126157945	0.29525537355726
