gene_id	lr	df	pvalue	adj_pvalue	bc01	bc02	iNGN_D12_rep1	iNGN_D12_rep2	iNGN_D12_rep3	WARM1	WARM2	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
RAN:chr12:130875927:130877678:u1	2486.0172627178	4	0	0	0.0429272497693366	0.0432852458141312	0.280200227475857	0.269488752938794	0.286029728488017	0.278572902967556	0.0431062477917339	0.235466655175822	chr12:130876281:+_vs_chr12:130877678:+	0.430799115727893	chr12:130876281:+;chr12:130876352:+;chr12:130876634:+;chr12:130877346:+;chr12:130877678:+	distal	TRUE
ATP2A2:chr12:110346471:110351092:u1	1446.61284561643	5	1.09209259981809e-310	3.34999404994198e-307	0.224477889778817	0.2333994378274	0.707199370335938	0.728870452672143	0.69524619889125	0.710438673966444	0.228938663803109	0.481500010163335	chr12:110347323:+_vs_chr12:110351089:+	1.04328845369237	chr12:110346677:+;chr12:110346786:+;chr12:110347323:+;chr12:110350810:+;chr12:110350975:+;chr12:110351089:+	distal	TRUE
UBE2N:chr12:93405684:93410038:u1	1356.93105538018	8	1.16016302694517e-287	2.37253339010288e-284	0.165513971874899	0.162783055580159	0.301430931654193	0.301281674955527	0.282179506693049	0.29496403776759	0.164148513727529	0.130815524040061	chr12:93409357:-_vs_chr12:93408372:-	0.769607322010128	chr12:93405690:-;chr12:93406625:-;chr12:93408148:-;chr12:93408312:-;chr12:93408372:-;chr12:93409071:-;chr12:93409140:-;chr12:93409357:-;chr12:93409886:-	distal	TRUE
UBE2L3:chr22:21621670:21624034:u1	1199.46375930958	3	9.58405491422116e-260	1.46995442246867e-256	0.384344010797727	0.404279772747052	0.717183536992183	0.710396977850182	0.723274595956019	0.716951703599461	0.39431189177239	0.322639811827072	chr22:21621873:+_vs_chr22:21624031:+	0.608348543225103	chr22:21621873:+;chr22:21622939:+;chr22:21623489:+;chr22:21624031:+	distal	TRUE
LAMP2:chrX:120426148:120431322:u2	968.969630273834	7	6.09234650034284e-205	7.47530915592066e-202	0.0486934821308196	0.0459760983031914	0.812014470374733	0.776483317397212	0.7270994883913	0.771865758721082	0.0473347902170055	0.724530968504076	chrX:120431142:-_vs_chrX:120426148:-	1.01167119500453	chrX:120426148:-;chrX:120426222:-;chrX:120428078:-;chrX:120430414:-;chrX:120430822:-;chrX:120430940:-;chrX:120431142:-;chrX:120431276:-	distal	TRUE
PSMB2:chr1:35599541:35603266:u1	938.035085291354	5	1.55885224035995e-200	1.59392641576805e-197	0.0801399871034045	0.0814087641029131	0.292798381874175	0.288379269098383	0.274389198839664	0.285188949937407	0.0807743756031588	0.204414574334248	chr1:35603138:-_vs_chr1:35601820:-	0.857451193410084	chr1:35599541:-;chr1:35600478:-;chr1:35601584:-;chr1:35601820:-;chr1:35601908:-;chr1:35603138:-	distal	TRUE
RAB10:chr2:26135022:26137454:u1	934.629120895188	9	2.13359176339952e-195	1.86994078120801e-192	0.350563960886258	0.346187988848747	0.769874283466746	0.768382288595331	0.716757090185193	0.75167122074909	0.348375974867502	0.403295245881588	chr2:26135383:+_vs_chr2:26137411:+	0.772626178052391	chr2:26135110:+;chr2:26135228:+;chr2:26135276:+;chr2:26135383:+;chr2:26135647:+;chr2:26136194:+;chr2:26136917:+;chr2:26137223:+;chr2:26137341:+;chr2:26137411:+	distal	TRUE
HMGB3:chrX:150987915:150990775:u1	883.211495683354	5	1.14406510881962e-188	8.77354930326047e-186	0.320799539923525	0.31734492341471	0.563547928251501	0.555601723093014	0.578522208001218	0.565890619781911	0.319072231669118	0.246818388112793	chrX:150988769:+_vs_chrX:150990771:+	0.536322988737743	chrX:150987932:+;chrX:150988183:+;chrX:150988235:+;chrX:150988345:+;chrX:150988769:+;chrX:150990771:+	distal	TRUE
XRCC5:chr2:216205203:216206293:u1	860.387353295606	2	1.47659054158141e-187	1.00654255251133e-184	0.285471367391105	0.291739024840082	0.599601510439591	0.612033594212442	0.586012027645633	0.599215710765889	0.288605196115593	0.310610514650296	chr2:216205424:+_vs_chr2:216206281:+	0.616071456353996	chr2:216205424:+;chr2:216206125:+;chr2:216206281:+	distal	TRUE
HSBP1:chr16:83811421:83819737:u2	884.973080043492	7	8.43657934648767e-187	5.17584142907019e-184	0.141841269795229	0.146718342369364	0.178031570236552	0.176529561694402	0.174948028909052	0.176503053613335	0.144279806082297	0.0322232475310383	chr16:83811795:+_vs_chr16:83812993:+	0.246377878442839	chr16:83811666:+;chr16:83811795:+;chr16:83812238:+;chr16:83812370:+;chr16:83812993:+;chr16:83814692:+;chr16:83818568:+;chr16:83819285:+	distal	TRUE
