gene_id	lr	df	pvalue	adj_pvalue	bc01	bc02	bc05	bc06	WARM1	WARM2	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
ATP2A2:chr12:110346471:110351092:u1	2514.90777857754	5	0	0	0.224477889778817	0.2333994378274	0.76469906453474	0.745484745885256	0.755091905209998	0.228938663803109	0.526153241406889	chr12:110347323:+_vs_chr12:110351089:+	1.12565663940311	chr12:110346677:+;chr12:110346786:+;chr12:110347323:+;chr12:110350810:+;chr12:110350975:+;chr12:110351089:+	distal	TRUE
EIF4A1:chr17:7578372:7579006:u1	1854.06625565357	1	0	0	0.142912128093607	0.143369425199318	0.523498694516971	0.537416801583019	0.530457748049995	0.143140776646462	0.387316971403533	chr17:7578627:+_vs_chr17:7579001:+	0.774862084846155	chr17:7578627:+;chr17:7579001:+	distal	TRUE
PARP1:chr1:226360691:226361459:u1	1229.8200667331	3	2.48415790300723e-266	4.86315312145382e-263	0.488967810185885	0.488185042080151	0.737856631673952	0.72739158907776	0.732624110375856	0.488576426133018	0.244047684242838	chr1:226361003:-_vs_chr1:226360691:-	0.764827375444518	chr1:226360691:-;chr1:226360802:-;chr1:226361003:-;chr1:226361200:-	distal	TRUE
ELAVL1:chr19:7958573:7963482:u1	1082.11684978091	2	1.05029593062089e-235	1.54209700013412e-232	0.235263538552416	0.235345688578708	0.0825483791101279	0.0778224413875541	0.080185410248841	0.235304613565562	-0.155119203316721	chr19:7963231:-_vs_chr19:7962273:-	-1.68497465426448	chr19:7959192:-;chr19:7962273:-;chr19:7963231:-	proximal	TRUE
ANP32A:chr15:68778536:68780080:u1	1057.55588511615	3	5.87704745258776e-229	6.90317993780958e-226	0.3658829465259	0.367692178445968	0.629123606944041	0.642305764632047	0.635714685788044	0.366787562485934	0.26892712330211	chr15:68779873:-_vs_chr15:68778907:-	0.662090942990092	chr15:68778535:-;chr15:68778907:-;chr15:68779360:-;chr15:68779873:-	distal	TRUE
XRCC5:chr2:216205203:216206293:u1	968.761964912643	2	4.32525961608288e-211	4.23370828754246e-208	0.285471367391105	0.291739024840082	0.564605153796721	0.560731552492613	0.562668353144667	0.288605196115593	0.274063157029074	chr2:216205424:+_vs_chr2:216206281:+	0.544453564757597	chr2:216205424:+;chr2:216206125:+;chr2:216206281:+	distal	TRUE
WDR1:chr4:10074339:10075377:u1	755.296768233893	2	9.7586710385515e-165	8.18752500134471e-162	0.405361406555242	0.393875349429925	0.697122794451515	0.707266032077595	0.702194413264555	0.399618377992584	0.302576035271971	chr4:10075152:-_vs_chr4:10074339:-	0.531234398085588	chr4:10074339:-;chr4:10074480:-;chr4:10075152:-	distal	TRUE
RANBP1:chr22:20127053:20127355:u1	734.822602975881	3	5.90092788875676e-159	4.33201868633356e-156	0.775650392068972	0.788301493290901	0.926803660963966	0.929494320791429	0.928148990877698	0.781975942679936	0.146173048197762	chr22:20127183:+_vs_chr22:20127349:+	0.482980526118451	chr22:20127066:+;chr22:20127116:+;chr22:20127183:+;chr22:20127349:+	distal	TRUE
TPM1:chr15:63069944:63071914:u2	723.129814392778	2	9.42661900848272e-158	6.151392604091e-155	0.999624095892757	0.999495064779686	0.720678671564986	0.765233354683404	0.742956013124195	0.999559580336221	-0.256603567212026	chr15:63070632:+_vs_chr15:63071915:+	-0.532426858566133	chr15:63070544:+;chr15:63070632:+;chr15:63071915:+	proximal	TRUE
EWSR1:chr22:29300162:29300521:u2	682.323479101469	1	2.0876120837909e-150	1.2260545768104e-147	0.276652550174922	0.25429158110883	0.616806722689076	0.629373317954633	0.623090020321854	0.265472065641876	0.357617954679979	chr22:29300336:+_vs_chr22:29300519:+	0.717067941042655	chr22:29300336:+;chr22:29300519:+	distal	TRUE
NUP93:chr16:56844610:56850286:u1	613.498938779121	1	1.93966279226226e-135	1.03560359808693e-132	0.00305498981670061	0.00345921014701643	0.501269035532995	0.418454935622318	0.459861985577656	0.00325709998185852	0.456604885595798	chr16:56844765:+_vs_chr16:56844950:+	0.906243542569196	chr16:56844765:+;chr16:56844950:+	distal	TRUE
HNRNPA1:chr12:54284549:54287087:u2	550.592219929211	3	5.17083034616353e-119	2.5306905519182e-116	0.0993196118175254	0.100309448051573	0.138688332492239	0.138216433220956	0.138452382856598	0.099814529934549	0.0386378529220486	chr12:54284881:+_vs_chr12:54285246:+	0.270794094349675	chr12:54284815:+;chr12:54284881:+;chr12:54285246:+;chr12:54287087:+	distal	TRUE
GNB1:chr1:1785285:1787053:u2	544.935094054181	3	8.70472513172596e-118	3.93252697681743e-115	0.665496674580957	0.656731186142951	0.937503974819341	0.941513738865773	0.939508856842557	0.661113930361954	0.278394926480604	chr1:1786758:-_vs_chr1:1785290:-	0.573137121270671	chr1:1785290:-;chr1:1785791:-;chr1:1786758:-;chr1:1786837:-	distal	TRUE
